"","","","","","","−1","",""
"Sample","Rocktype","Datingmethod","K(%)","40Arrad*10","−10/mol*g","","40Arrad(%)","Age(Ma±1δ)"
"LWM03","dolerite","whole-rock(K-Ar)","043","143","","","9245","2153±46"
"WJZ02","dolerite","whole-rock(K-Ar)","039","138","","","9236","2045±52"
"MJZ04","dolerite","whole-rock(K-Ar)","195","475","","","9233","1382±33"
"JY03","dolerite","whole-rock(K-Ar)","174","417","","","9608","1374±28"
"HM01","dolerite","whole-rock(K-Ar)","165","372","","","9513","1253±24"
"XHH02","dolerite","whole-rock(K-Ar)","114","252","","","9034","1256±27"
