"Variant","Init","λ","SplitCIFAR-100","SplitImagenet-R","SplitCUB-200","SplitCars-196","SplitVTAB-50"
"","","","Last-AccInc-Acc","Last-Acc","Inc-AccLast-AccInc-Acc","Last-Acc","Inc-AccLast-AccInc-Acc"
"SeqFT","-","-","8886±0839201±171","7180±145","7684±1266807±1097904±169","4974±125","6283±2166848±0638437±035"
"SLCA","-","-","9153±0289409±087","7700±033","8117±0648471±0409094±068","6773±085","7693±1219252±0619354±108"
"Weight-Ens","θ∗0","1/t","6168±0147024±046","4490±014","5203±0468249±0278720±056","3620±027","4531±0318912±0358917±014"
"Weight-Ens","θ∗t−1","1/t","9169±0239452±095","7585±073","8151±0608428±0479007±022","7182±047","7885±0319126±0319172±018"
"EMA","-","-","9140±0129389±059","7935±083","8307±0948499±0499084±074","6541±018","7368±0469335±0719287±046"
"CoMA","θ∗t−1","05","9200±0139412±063","7932±005","8232±0178695±0299175±039","7335±059","7855±0429223±0529230±043"
"CoFiMA(Full)","θ∗t−1","05Ft","9216±0249466±094","7948±026","8328±0568702±0569203±069","7346±064","7935±0969367±0239496±011"
