"","Memory","SplitCIFAR-100","SplitImageNet-R","SplitCUB-200","SplitCars-196"
"Method","","","","",""
"","-Free","Last-AccInc-AccLast-Acc","Inc-Acc","Last-Acc","Inc-AccLast-AccInc-Acc"
"Joint-Training","-","8911±006-7280±023","-","7955±004","-7452±009-"
"GDumb[49]","","6972±0208095±1192824±058","4364±105","4529±0976686±0632095±042","4540±066"
"DER++[4]","","6364±1307955±0875311±044","6510±091","6147±032","7715±0615064±0706764±045"
"BiC[77]","","8057±0868939±0335736±268","6807±022","7439±112","8213±0336557±0937395±029"
"","✓","","","",""
"EWC[28]","","8162±0348756±0976450±036","7037±041","6136±143","7284±2185316±1456361±106"
"","✓","","","",""
"LwF[34]","","7794±1008690±0906074±030","6855±065","6166±195","7390±1915245±0486387±031"
"","✓","","","",""
"SeqFT","","8147±0558755±0956443±044","7048±054","6167±137","7325±1835291±1616332±131"
"","✓","","","",""
"SLCA[82]","","8527±0088951±1046807±021","7304±056","7301±016","8213±0346604±0087259±004"
"","✓","","","",""
"CoFiMA(Ours)","","8659±0478966±0536815±031","7366±078","7586±0188337±0166393±016","7083±083"
