"","Memory","","SplitCIFAR-100","SplitImageNet-R","SplitCUB-200","SplitCars-196"
"Method","","","","","",""
"","-Free","Last-Acc","Inc-Acc","Last-AccInc-AccLast-Acc","Inc-Acc","Last-AccInc-Acc"
"Joint-Training","-","9322±016","-","7960±087-8800±034","-","8031±013-"
"GDumb[49]","","8192±015","8946±094","2423±0354348±0496180±077","7976±018","2520±0844948±074"
"DER++[4]","","8450±167","9149±061","6775±0937813±1147742±071","8761±009","6041±1767504±057"
"BiC[77]","","8845±057","9337±032","6489±0807366±1618191±259","8929±157","6310±5717375±237"
"","✓","","","","",""
"L2P[73]","","8276±117","8848±083","6649±0407283±0566221±192","7383±167","3818±2335179±419"
"","✓","","","","",""
"DualPrompt[72]","","8556±033","9033±033","6850±0527259±0246600±057","7792±050","4014±2365674±178"
"","✓","","","","",""
"EWC[28]","","8930±023","9231±166","7027±1997627±2136832±264","7995±228","5250±3186401±325"
"","✓","","","","",""
"LwF[34]","","8799±005","9213±116","6729±1677447±1486975±137","8045±208","4994±3246328±111"
"","✓","","","","",""
"Prototype-classifier","","6029±000","6918±000","3845±0004559±0008066±000","8895±000","2858±0003983±000"
"","✓","","","","",""
"SeqFT","","8886±083","9201±171","7180±1457684±1266807±109","7904±169","4974±1256283±216"
"","✓","","","","",""
"SLCA[82]","","9153±028","9409±087","7700±0338117±0648471±040","9094±068","6773±0857693±121"
"","✓","","","","",""
"CoFiMA(Ours)","","9216±024","9466±094","7948±0268328±0568702±056","9203±069","7346±0647935±096"
