"Deposit","Sample","δ34S","(‰)","Reference","Deposit","Sample","δ34S","(‰)","Reference"
"Qulong","Pyrite","0.3","","She et al. (2005)","Narigongma","Pyrite","4.7","","Li et al. (2015b)"
"","Chalcopyrite","−0.3","","She et al. (2005)","","Molybdenite","4.2","PT","Li et al. (2015b)"
"","Pyrite","0.1","","She et al. (2005)","","Pyrite","6.6","","Li et al. (2015b)"
"","","","","","","","","",""
"","","","","","","","","",""
"","Anhydrite 
Anhydrite","14.1 
14.4","","Meng et al. (2006) 
Meng et al. (2006)","","Molybdenite 
Pyrite 
R","I
8.0","","Li et al. (2015b) 
Li et al. (2015b)"
"","","","","","","","","",""
"","Anhydrite","12.5","","Meng et al. (2006)","","Chalcopyrite","3.9","","Li et al. (2015b)"
"","Anhydrite","12.6","","Meng et al. (2006)","","","7.5","","Li et al. (2015b)"
"","Chalcopyrite","−1.2","","She et al. (2005)","","USC","7.5","","Li et al. (2015b)"
"","Pyrite","−0.3","","She et al. (2005)","","","7.2","","Li et al. (2015b)"
"","","","","","","","","",""
"","","","","","","","","",""
"","Pyrite 
Pyrite","","","","","Pyrite","7.2 
 
−1.1","","Li et al. (2015b) 
Zhao et al. (2015a)"
"","Chalcopyrite","","","","","Galena","1.1","","Zhao et al. (2015a)"
"","Chalcopyrite","","","","","Pyrite","−1.1","","Zhao et al. (2015a)"
"","Chalcopyrite","","","","","Pyrite","−0.4","","Zhao et al. (2015a)"
"","Chalcopyrite","","","","","Pyrite","−1.5","","Zhao et al. (2015a)"
"","Chalcopyrite","","","","","Galena","−0.6","","Zhao et al. (2015a)"
"Jiama","Bornite","CEPTED MAN","","","","Galena","−0.8","","Zhao et al. (2015a)"
"","Bornite","","","","","Sphalerite","−0.4","","Zhao et al. (2015a)"
"","Bornite","","","","","Sphalerite","0.3","","Zhao et al. (2015a)"
"","Bornite","","","","","Pyrite","0.1","","Zhao et al. (2015a)"
"","Bornite","","","","","Pyrite","0.2","","Zhao et al. (2015a)"
"","Bornite","","","","","Pyrite","1.1","","Zhao et al. (2015a)"
"","Galena","","","","","Pyrite","−1.0","","Zhao et al. (2015a)"
"","","","","","","","","",""
"","","","","","","","","",""
"","AC","−2.5","","Li et al. (2012c)","","Pyrite 
Pyrite","−0.9 
−0.6","","Zhao et al. (2015a) 
Zhao et al. (2015a)"
"","","−2.2","","Li et al. (2012c)","","Pyrite","−0.4","","Zhao et al. (2015a)"
"","","","","","","","","",""
"","","","","","","","","",""
"","Galena","−1.6 
−2.1","","Li et al. (2012c) 
Li et al. (2012c)","","Pyrite 
Pyrite","−0.5 
−1.2","","Zhao et al. (2015a) 
Zhao et al. (2015a)"
"","Galena","−2.7","","Li et al. (2012c)","","Pyrite","−1.0","","Zhao et al. (2015a)"
"","Galena","−2.4","","Li et al. (2012c)","","Pyrite","−1.3","","Zhao et al. (2015a)"
"","Galena","−3.7","","Li et al. (2012c)","","Pyrite","−0.6","","Zhao et al. (2015a)"
"","Galena","−4.4","","Li et al. (2012c)","","Pyrite","0.2","","Zhao et al. (2015a)"
"","Pyrite","−1.6","","Li et al. (2012c)","","Pyrite","−0.9","","Zhao et al. (2015a)"
"","Pyrite","−1.5","","Li et al. (2012c)","","Pyrite","−1.3","","Zhao et al. (2015a)"
"","Pyrite","−4.9","","Li et al. (2012c)","","Pyrite","−0.6","","Zhao et al. (2015a)"
"","Pyrite","−1.1","","Li et al. (2012c)","","Pyrite","−1.6","","Zhao et al. (2015a)"
"","Pyrite","−1.0","","Li et al. (2012c)","","Pyrite","−0.1","","Zhao et al. (2015a)"
"","Pyrite","−1.9","","Li et al. (2012c)","","Molybdenite","−0.3","","Zhao et al. (2015a)"
"","Chalcopyrite","−0.2","","Li et al. (2012c)","","Molybdenite","0.3","","Zhao et al. (2015a)"
"","Chalcopyrite","−1.2","","Li et al. (2012c)","","Molybdenite","0.7","","Zhao et al. (2015a)"
