"","Ores","1","Biotite40Ar/39Arplateau","","2375±018","Wuetal(2015)"
"Yulong","Monzograniteporphyry","1","SHRIMPzirconU-Pbweightedaverage","PT","410±10","Guoetal(2006)"
"","","","","","",""
"","","","","","",""
"","Monzograniteporphyry","1","SHRIMPzirconU-Pbweightedaverage","I","3886±08","Jiangetal(2006)"
"","","","","R","",""
"","Monzograniteporphyry","1","LA-ICPMSzirconU-Pbweightedaverage","","412±02","Liangetal(2006)"
"","Quartzmonzonite-porphyry","1","LA-ICPMSzirconU-Pbweightedaverage","","413±03","Liangetal(2008)"
"","Syenograniteporphyry","1","LA-ICPMSzirconU-PbweightedaverageUSC","","412±03","Liangetal(2008)"
"","","","","","",""
"","","","","","",""
"","MonzograniteporphyryMonzograniteporphyry","11","SHRIMPzirconU-PbweightedaverageSHRIMPzirconU-Pbweightedaverage","","430±05438±07","Wangetal(2009)Wangetal(2009)"
"","Potassicalteration","1","","","413±08","Liangetal(2008)"
"","Ores","4","","","409±07–410±08","Houetal(2006a)"
"","Ores","5","","","3969±057–4129±057","Tangetal(2009b)"
"Zhanaga","Monzograniteporphyry","1","LA-ICPMSzirconU-PbweightedaverageCEPTEDMAN","","385±02","Liangetal(2006)"
"","Monzograniteporphyry","1","LA-ICPMSzirconU-Pbweightedaverage","","385±02","Heetal(2014)"
"","Syenograniteporphyry","1","LA-ICPMSzirconU-Pbweightedaverage","","385±02","Heetal(2014)"
"Mangzong","Syenograniteporphyry","1","LA-ICPMSzirconU-Pbweightedaverage","","376±02","Liangetal(2006)"
"","","","","","",""
"","","","","","",""
"Duoxiasongduo","SyenograniteporphyryOres","11","LA-ICPMSzirconU-PbweightedaverageMolybdeniteRe-OsAC","","375±02360±04","Liangetal(2006)Duetal(1994)"
"","","","","","",""
"Malasongduo","Alkali-feldspargraniteporphyry","1","LA-ICPMSzirconU-Pbweightedaverage","","369±02","Liangetal(2006)"
"","Quartzmonzograniteporphyry","1","LA-ICPMSzirconU-Pbweightedaverage","","369±04","Liangetal(2009b)"
"","Alkali-feldspargraniteporphyry","1","LA-ICPMSzirconU-Pbweightedaverage","","369±03","Liangetal(2009b)"
"","Ores","3","MolybdeniteRe-Os","","354±13–362±11","TangandLuo(1995)"
"","Ores","1","MolybdeniteRe-Os","","358±04","Duetal(1994)"
"Xiuwacu","Biotitegraniticporphyry","1","LA-ICPMSzirconU-Pbweightedaverage","","856±05","Wangetal(2014c)"
"","Biotitemonzogranite","1","LA-ICPMSzirconU-Pbweightedaverage","","848±06","Wangetal(2014c)"
