"","Chalcopyrite","−01","Lietal(2012c)","","Molybdenite","−03","Zhaoetal(2015a)"
"","Chalcopyrite","−04","Lietal(2012c)","","Molybdenite","−10","Zhaoetal(2015a)"
"","Chalcopyrite","−03","Lietal(2012c)","","Molybdenite","−01","Zhaoetal(2015a)"
"","Chalcopyrite","−09","Lietal(2012c)","","Chalcopyrite","−23","Zhaoetal(2015a)"
"","Chalcopyrite","−10","Lietal(2012c)","","Chalcopyrite","−12","Zhaoetal(2015a)"
"","Chalcopyrite","−10","Lietal(2012c)","","Chalcopyrite","−10PT","Zhaoetal(2015a)"
"","Molybdenite","−16","Lietal(2012c)","","Chalcopyrite","−13","Zhaoetal(2015a)"
"","","","","","","",""
"","","","","","","",""
"Xiuwacu","Chalcopyrite","27","Wangetal(2015)","Hongshan","Pyrrhotite","I","Zuetal(2016)"
"","Chalcopyrite","24","Wangetal(2015)","","PyrrhotiteR","48","Zuetal(2016)"
"","","","","","","",""
"","Molybdenite","36","Wangetal(2015)","","","52","Zuetal(2016)"
"","Molybdenite","33","Wangetal(2015)","","","46","Zuetal(2016)"
"","Molybdenite","28","Wangetal(2015)","","USC","43","Zuetal(2016)"
"","Molybdenite","28","Wangetal(2015)","","","47","Zuetal(2016)"
"","","","","","","",""
"","","","","","","",""
"","MolybdeniteMolybdenite","","","","Pyrrhotite","4243","Zuetal(2016)Zuetal(2016)"
"","Molybdenite","","","","Pyrrhotite","46","Zuetal(2016)"
"","Molybdenite","","","","Pyrrhotite","46","Zuetal(2016)"
"","Molybdenite","","","","Pyrrhotite","47","Zuetal(2016)"
"","Pyrite","","","","Pyrrhotite","39","Zuetal(2016)"
"","Pyrite","","","","Pyrrhotite","41","Zuetal(2016)"
"","Pyrite","CEPTEDMAN","","","Pyrrhotite","38","Zuetal(2016)"
"","Pyrite","","","","Pyrrhotite","47","Zuetal(2016)"
"","Pyrite","","","","Pyrrhotite","48","Zuetal(2016)"
"","Pyrite","","","","Pyrite","52","Zuetal(2016)"
"","Pyrite","","","","Pyrite","52","Zuetal(2016)"
"","Sphalerite","","","","Pyrite","52","Zuetal(2016)"
"","Sphalerite","","","","Pyrite","43","Zuetal(2016)"
"","","","","","","",""
"","","","","","","",""
"Tongchanggou","AC","−07","Liuetal(2016)","","PyritePyrite","4547","Zuetal(2016)Zuetal(2016)"
"","","06","Liuetal(2016)","","Pyrite","45","Zuetal(2016)"
"","","","","","","",""
"","","","","","","",""
"","Pyrite","1002","Liuetal(2016)Liuetal(2016)","","PyritePyrite","4845","Zuetal(2016)Zuetal(2016)"
"","Pyrite","05","Liuetal(2016)","","Pyrite","39","Zuetal(2016)"
"","Molybdenite","01","Liuetal(2016)","","Chalcopyrite","48","Zuetal(2016)"
"","Chalcopyrite","04","Liuetal(2016)","","Chalcopyrite","51","Zuetal(2016)"
"","Molybdenite","07","Liuetal(2016)","","Chalcopyrite","48","Zuetal(2016)"
"","Molybdenite","11","Liuetal(2016)","","Chalcopyrite","42","Zuetal(2016)"
"","Pyrite","14","Liuetal(2016)","","Chalcopyrite","54","Zuetal(2016)"
"","Pyrite","07","Liuetal(2016)","","Chalcopyrite","44","Zuetal(2016)"
"","Pyrite","07","Liuetal(2016)","","Chalcopyrite","47","Zuetal(2016)"
"","Molybdenite","11","Liuetal(2016)","","Chalcopyrite","44","Zuetal(2016)"
"","Pyrite","14","Liuetal(2016)","","Chalcopyrite","48","Zuetal(2016)"
"","Pyrite","12","Liuetal(2016)","","Chalcopyrite","43","Zuetal(2016)"
"","Molybdenite","38","Liuetal(2016)","","Chalcopyrite","58","Zuetal(2016)"
