"Yulong","Monzograniteporphyry","04451","070677","070651","01051","0512482","−26","18714","15658","38895","Jiangetal(2006)"
"","Monzograniteporphyry","05208","070686","070656","01010","0512487","−24PT","18751","15673","38963","Jiangetal(2006)"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Monzograniteporphyry","06122","070731","070695","00965","0512486I","−24","18736","15662","38937","Jiangetal(2006)"
"","Syenograniteporphyry","07398","070696","070653","00837","0512478","−25","18713","15646","38867","Jiangetal(2006)"
"","","","","","","R","","","","",""
"","Alkali-feldspargraniteporphyry","1359","070708","070629","00945","0512486","−24","18824","15665","38999","Jiangetal(2006)"
"","Monzograniteporphyry","1054","070746","070685","00980","0512478USC","−26","18731","15661","38924","Jiangetal(2006)"
"","Quartzmonzograniteporphyry","09713","070726","070670","01140","0512513","−20","18718","15652","38895","Jiangetal(2006)"
"","Monzograniteporphyry","08419","070720","","","0512465","−29","18719","15654","38894","Jiangetal(2006)"
"","Monzograniteporphyry","07382","070688","","","0512482","−25","18718","15646","38874","Jiangetal(2006)"
"","Monzograniteporphyry","09272","070710","","","0512461","−30","18735","15663","38933","Jiangetal(2006)"
"Zhanaga","Monzograniteporphyry","","070582","","","0512509","−25","18867","15661","38963","Zhangetal(1998)"
"","Syenograniteporphyry","","070600","CEPTEDMAN","","0512485","−30","18870","15648","38955","Zhangetal(1998)"
"Duoxiasongduo","Monzograniteporphyry","","070545","","","0512532","−21","18852","15634","38915","Zhangetal(1998)"
"","Alkali-feldspargraniteporphyry","","070658","","","0512492","−28","","","","Zhangetal(1998)"
"Mangzong","Monzograniteporphyry","","070633","","","0512522","−23","18883","15629","38921","Zhangetal(1998)"
"Malasongduo","Alkali-feldspargraniteporphyry","","070683","","","0512473","−32","","","","Zhangetal(1998)"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Xiuwacu","BiotitegraniticporphyryBiotitegraniticporphyry","117194425","07216950713422AC","07081","00982","05122370512205","−69−74","","","","Wangetal(2014d)Wangetal(2014d)"
"","","","","","","","","","","",""
"","Monzogranite","4312","0712908","07077","00980","0512205","−74","","","","Wangetal(2014d)"
"","Monzogranite","12449","0722964","07079","01033","0512205","−74","","","","Wangetal(2014d)"
"","Monzogranite","10666","0721374","07085","01313","0512210","−76","","","","Wangetal(2014d)"
"","Monzogranite","4578","0713064","07075","01015","0512215","−72","","","","Wangetal(2014d)"
"","Alkali-feldsparleucogranite","18025","0729223","07075","01238","0512220","−74","","","","Wangetal(2014d)"
"","Alkali-feldsparleucogranite","79546","0804946","07089","02029","0512231","−80","","","","Wangetal(2014d)"
"","Alkali-feldsparleucogranite","156688","0899085","07098","01260","0512210","−76","","","","Wangetal(2014d)"
"","Biotitegraniteporphyry","","","","","","","19280","15770","39850","Wangetal(2015)"
