"","","","fine-grained","and muddy limestone","","","","","","","",""
"","","","granite","","","","","PT","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","porphyry","","","","","I","","","",""
"","","","","","Carboniferous  clastic  rocks,","","","R","","","",""
"","","","","","","","","","","","",""
"","","","Biotite","","","","","","","","",""
"Lurige,","","","","carbonate;  Permian","clastic","","Mo: 0.01-0.1","","","Mb,  Cp,  Py,","Qz, Kf, Ep, Ser,",""
"","P","Mo-Cu","mozongranite","","","","","","Diss, Sw","","","Hao et al. (2013)"
"Qinghai","","","","rocks, 
volcanic","rocks,","","Cu: 0.45-6.19 
USC","","","Ga, Sph","Chl, Cc",""
"","","","porphyry","","","","","","","","",""
"","","","","carbonate","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","Jurassic","felsic","","","","","","","Hou et al. (2003);"
"Qulong,","","","Monzogranite","volcanoclastic","","","Cu: 0.50;","","","Cp,  Py,  Mb,","",""
"","P","Cu-Mo","","","","","","","Sw, Diss","","Qz, Ser, Kf, An","Xiao 
et 
al. 
(2009,"
"Tibet","","","porphyry","limestone,","sandstone","","Mo: 0.03","","","Bo","",""
"","","","","","","","","","","","","2012)"
"","","","","slate","","","","","","","",""
"","","","","","","","","","","","","Tang et al. (2010);"
"","","","","Jurassic","CEPTED MAN","","","","","","Gr,  Di,  Ep,  Qz,",""
"Jiama,","","","Felsic-intermedi","","","","Cu: 0.44","","","Cp,  Mb,  Bo,","","Qin et al. (2011);"
"","PS","Cu-Mo-Pb-Zn","","Cretaceous","","","","","Diss, Sw","","Cc,  Fl,  Chl,  Ep,",""
"Tibet","","","ate porphyries","","","","Mo: 0.036","","","Py, Ga, Sph","","Ying 
et 
al. 
(2010,"
"","","","","siltstone, shale","","","","","","","An",""
"","","","","","","","","","","","","2014);"
"","","","Granite","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","porphyry; 
porphyritic","","","","","","","","",""
"Sharang,","","","","Late 
Permian 
AC","quartz","","","","Sw,  Diss,","","","Zhao et al. (2014);"
"","P","Mo","granite;  granite;","","","61","Mo: 0.061","","","Mb, Py","Ser, Qz, Kao",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Tibet","","","fine-grained","sandstone","","","","","Br","","","Tang et al. (2009a)"
"","","","granite","","","","","","","","",""
"","","","porphyry","","","","","","","","",""
"","","","","Cretaceous","metamorphic","","","","","","",""
"","","","","","","","","","","","Qz,  Ser,  Bi,  Kf,",""
"Mingze,","","","Granite","siltstone, 
tuff,","and 
slate;","","","","","Cp,  Py,  Bo,","",""
"","PS","Mo","","","","","Mo: 0.1","","Diss","","Do, Gr, Di, Wol,","Fan et al. (2011)"
"Tibet","","","porphyry","Triassic","sandslate,","","","","","Mb","",""
"","","","","","","","","","","","Ep, Cc",""
"","","","","sandstone","","","","","","","",""
