"Dreposit","Mineral","T(°C)","δ18Omineral(‰)","δ18OH2O(‰)","δDH2O(‰)","Reference"
"Qulong","Quartz","575","90","77","−104","YangandHou(2009)"
"","Quartz","575","90","77","−97","YangandHou(2009)PT"
"","Quartz","575","85","72","−105","YangandHou(2009)"
"","","","","","",""
"","Quartz","575","96","83","−115I","YangandHou(2009)"
"","Quartz","575","91","78","−108R","YangandHou(2009)"
"","Epidote","400","23","27","","YangandHou(2009)"
"","Epidote","400","18","22","","YangandHou(2009)"
"","Epidote","400","24","28","USC","YangandHou(2009)"
"","Epidote","400","28","32","","YangandHou(2009)"
"","","","","","",""
"","","","","","",""
"","EpidoteEpidote","","","","−64","YangandHou(2009)YangandHou(2009)"
"","Epidote","","","","−29","YangandHou(2009)"
"","Sericite","","","","−90","YangandHou(2009)"
"Jiama","Quartz","","","","−80","Lietal(2012c)"
"","Quartz","","","","−96","Lietal(2012c)"
"","Quartz","CEPTEDMAN","","","−91","Lietal(2012c)"
"","Quartz","","","","−104","Lietal(2012c)"
"","Quartz","","","","−73","Lietal(2012c)"
"","Quartz","","","","−74","Lietal(2012c)"
"","Quartz","","","","−75","Lietal(2012c)"
"","Quartz","","","","−75","Lietal(2012c)"
"Bangpu","Quartz","","","","−146","Zhaoetal(2015a)"
"","","","","","",""
"","","","","","",""
"","","550","96","80","−155−153","Zhaoetal(2015a)Zhaoetal(2015a)"
"","AC","550","139","123","−107","Zhaoetal(2015a)"
"","","","","","",""
"","","","","","",""
"","Quartz","550550","95145","79129","−151−110","Zhaoetal(2015a)Zhaoetal(2015a)"
"","Quartz","550","109","93","−137","Zhaoetal(2015a)"
"","Quartz","550","135","119","−149","Zhaoetal(2015a)"
"","Quartz","550","108","92","−133","Zhaoetal(2015a)"
"","Quartz","550","105","89","−158","Zhaoetal(2015a)"
"","Quartz","550","100","84","−146","Zhaoetal(2015a)"
"","Quartz","420","137","101","−132","Zhaoetal(2015a)"
"","Quartz","420","125","89","−143","Zhaoetal(2015a)"
"","Quartz","420","103","67","−149","Zhaoetal(2015a)"
"","Quartz","420","124","88","−131","Zhaoetal(2015a)"
"Yulong","Quartz","420–520","104","57–74","","Houetal(2007)"
"","Quartz","380–540","95","38–68","−60","Houetal(2007)"
"","Quartz","340–550","88","20–62","−65","Houetal(2007)"
