"","Monzogranite","","","","","","PT","19.730","15.760","39.810","Wang et al. (2015)"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Alkali-feldspar leucogranite","","","","","I","","19.080","15.680","39.370","Wang et al. (2015)"
"","Alkali-feldspar leucogranite","","","","","","","19.410","15.758","39.498","Wang et al. (2015)"
"","","","","","","R","","","","",""
"Relin","Monzogranite","2.196","0.710371","0.7078","0.1460","0.512227","−7.5","","","","Wang et al. (2014d)"
"","Monzogranite","1.729","0.709790","0.7078","0.1489","0.512219 
USC","−7.7","","","","Wang et al. (2014d)"
"Hongshan","Granitic porphyry","1.252","0.709670","0.7082","0.1375","0.512197","−8.0","","","","Wang et al. (2014d)"
"","Monzogranite porphyry","1.5766","0.710126","","","0.512292","−5.8","19.0941","15.6498","39.4892","Yang et al. (2016b)"
"","Monzogranite porphyry","2.2172","0.710765","","","0.51226","−6.3","19.2458","15.6657","39.7894","Yang et al. (2016b)"
"","Monzogranite porphyry","1.7545","0.710215","","","0.512247","−6.6","18.9833","15.6293","39.3865","Yang et al. (2016b)"
"","Monzogranite porphyry","1.3286","0.709465","","","0.512195","−7.5","19.2037","15.756","39.701","Yang et al. (2016b)"
"","Monzogranite porphyry","1.3115","0.709766","CEPTED MAN","","0.512209","−7.3","19.3771","15.7236","39.7156","Yang et al. (2016b)"
"","Monzogranite porphyry","1.1735","0.709418","","","0.512216","−7.1","19.2839","15.7161","39.7043","Yang et al. (2016b)"
"","Monzogranite porphyry","1.8274","0.710659","","","0.512193","−7.7","18.8646","15.6245","39.2281","Yang et al. (2016b)"
"","Monzogranite porphyry","1.3705","0.709935","","","0.512222","−7.0","18.7673","15.6816","39.2038","Yang et al. (2016b)"
"","Monzogranite porphyry","1.191","0.709892","","","0.512210","−7.3","18.8286","15.6839","39.2276","Yang et al. (2016b)"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Quartz monzonite porphyry 
Quartz monzonite porphyry","7.042 
2.314","0.71498 
0.71097 
AC","0.7086","0.0942","0.512281 
0.512287","−6.0 
−5.9","18.970 
18.958","15.732 
15.726","39.630 
39.571","Zu et al. (2016) 
Zu et al. (2016)"
"","","","","","","","","","","",""
"","Quartz monzonite porphyry","4.210","0.71449","0.7101","0.1070","0.512293","−5.9","18.903","15.729","39.508","Zu et al. (2016)"
"","Quartz monzonite porphyry","2.390","0.71052","0.7080","0.0957","0.512280","−6.1","19.204","15.731","39.892","Zu et al. (2016)"
"","Quartz monzonite porphyry","1.986","0.71035","0.7083","0.0921","0.512280","−6.0","19.283","15.774","40.065","Zu et al. (2016)"
"Tongchanggou","Biotite granitic porphyry","0.606","0.707640","0.7069","0.1360","0.512333","−5.3","","","","Wang et al. (2014d)"
"","Biotite granitic porphyry","0.582","0.707624","0.7069","0.1442","0.512323","−5.6","","","","Wang et al. (2014d)"
"","Granodiorite porphyry","0.3399","0.707176","0.706770","0.0885","0.512312","−5.2","","","","Wang et al. (2014d)"
"","Granodiorite porphyry","0.3624","0.707176","0.706743","0.0975","0.512312","−5.3","18.7748","15.6625","39.2006","Yang et al. (2016c)"
"","Granodiorite porphyry","0.3789","0.706937","0.706485","0.0973","0.512347","−4.6","18.7721","15.6631","39.2416","Yang et al. (2016c)"
