"Hyperparameter","Value"
"Learningrate","5e-5"
"Totaltrainingframes","256,000"
"Batchesperiteration","64"
"Discountfactor(γ)","099"
"GAEλ","095"
"Valuepre-trainingiteration","2"
"PPOclip","01"
"Entropylossweight","01"
"Criticlosstype","L2"
"Criticcoefficient","1"
"Optimizer","Adam"
