"Sample","Nd(ppm)","Sm(ppm)","147Sm/144Nd","143Nd/144Nd","","~Nd290"
"Su2","4801","840","00158","0512345","(10)","-23"
"Su2a","2573","519","01219","0512298","(17)","-38"
"Su3","7148","1178","00996","0512106","(19)","-67"
"Shb","554","109","01112","0512331","(12)","--27"
"V79x","7081","1165","00994","0512299","(06)","--29"
"$13","2992","626","01265","0512251","(12)","-49"
"Mat1","2565","536","01262","0512416","(10)","-17"
