"Model","NAT","SOC","LAN","TXT","IMG","NO","G1-6","G7-12","Avg"
"ZeroTensor","9272","8785","8991","9272","9048","9129","9145","9011","9097"
"BlankImage","9254","8256","8991","9286","8835","9094","9068","8813","8977"
