"","","EN-DE","","","EN-FR"
"Model","","","","",""
"","","Test16Test17MSCOCOTest16Test17","","",""
"Transformer","376","317","279","590","519"
"Fusion-conv","370","298","251","535","516"
"Trg-mul","378","307","264","547","527"
"UVR-NMT","3694","2863","-","5753","4846"
"GMNMT","398","322","287","609","539"
"DCCN","397","310","267","612","543"
"ImagiT","385","321","287","597","524"
"GatedFusion","4196","3359","2904","6169","5485"
"RMMT","4145","3294","3001","621","5439"
"IKD-MMT","4128","3383","3017","6253","5484"
"mT5","3856","3301","2810","6171","5384"
"DPMM-MT","4163","3618","3075","6691","5780"
