"Model","NAT","SOC","LAN","TXT","IMG","NO","G1-6","G7-12","Avg"
"Ourmodel","9272","8785","8991","9272","9048","9129","9145","9011","9097"
"w/oStableDiffusionPre-training","8863","8043","8545","8993","8488","8592","8715","8418","8609"
"w/oUNet","9192","8256","8991","9218","8835","9052","8998","8846","8944"
"w/FrozenVAE","9107","8200","9036","9164","8736","9073","8935","8833","8899"
