"Spot","Th/U","206Pbc*","207Pb/206Pb","±Error2σ","206Pb/238U","±Error2σ","207Pb/235U","±Error2σ","238U/206Pb","±Error2σ","235U/207Pb","±Error2σ"
"","","(%)","","","","","","","age(Ma)","","age(Ma)",""
"Mu11","","","","","","","","","","","",""
"Mu11-2","066","109","00484","00063","001813","000075","01211","00166","1158","48","1161","159"
"Mu11-4","065","000","00502","00045","001820","000066","01261","00122","1163","42","1206","117"
"Mu11-5","089","000","00518","00050","001642","000061","01173","00122","1050","39","1127","117"
"Mu11-6","104","000","00538","00078","001623","000072","01203","00183","1038","46","1153","175"
"Mu11-8","069","000","00474","00066","001723","000073","01125","00165","1101","47","1082","159"
"Mu11-9","055","000","00540","00084","001820","000084","01355","00221","1162","54","1290","210"
"Mu11-11","073","025","00497","00040","001771","000052","01214","00104","1131","33","1163","100"
"Mu11-12","062","000","00467","00060","001874","000067","01206","00160","1197","43","1156","154"
"Mu11-15","060","043","00537","00073","001852","000072","01372","00193","1183","46","1305","184"
"Mu11-23","082","551","00553","00067","001616","000061","01233","00157","1034","39","1181","150"
"Mu11-24","053","048","00473","00074","001760","000074","01149","00187","1124","47","1104","180"
"Mu11-26","055","000","00472","00068","001782","000071","01160","00172","1138","45","1115","165"
"Mu11-27","085","220","00521","00052","001696","000058","01219","00128","1084","37","1168","122"
"Mu11-31","058","000","00553","00084","001803","000080","01374","00216","1152","51","1307","206"
"Mu11-32","057","000","00478","00074","001816","000078","01197","00192","1160","50","1148","184"
"Mu11-33","057","000","00532","00077","001788","000076","01311","00198","1142","49","1251","189"
"Mu11-34","047","000","00476","00073","001664","000071","01091","00173","1064","45","1051","167"
"Mu11-35","058","000","00494","00069","001731","000071","01178","00171","1106","45","1131","164"
"Mu11-36","059","000","00491","00075","001701","000073","01152","00182","1087","47","1107","175"
