"Sample","Rocktype","Unit","Proximaldetrital","Metamorphic","Sm","Nd","147Sm/144Nd","143Nd/144Nda","143Nd/144Ndi","εΝdi","TNdDM(1stg)","TNdDM(2stg)","source"
"","","","Zrnsample","age(i)","(ppm)","(ppm)","","","","","","",""
"NI122","Btparagneiss","Neoproterozoiccover—top","NL15","550Ma","728","3490","01261","0512265(11)","0511811","-23","145","140","Thiswork"
"NI133","Bt–Msschist","Neoproterozoiccover—top","NI133","550Ma","557","2810","01257","0512227(08)","0511774","-30","151","145","Thiswork"
"NM01","Bt–Msquartziticgneiss","Neoproterozoiccover—bottom","NK54","550Ma","364","1769","01246","0511604(14)","0511155","-151","249","240","Thiswork"
"553","Grt–Bt–Sillgneiss","Neoproterozoiccover—bottom","NI128","550Ma","813","4558","01078","0511725(06)","0511337","-116","195","212","Jungetal(2007)"
"K209","Grt–Bt–Msschist","Neoproterozoiccover—bottom","NK54","550Ma","961","5346","01086","0511687(22)","0511296","-124","201","218","Goscombeetal(2003b)"
"K1336b","Grt–Btgneiss","Neoproterozoiccover—bottom","NI128","550Ma","507","2527","01212","0511675(20)","0511238","-135","229","227","Goscombeetal(2003b)"
"KK105f","Grt–Bt–Msschist","Neoproterozoiccover—top","–","550Ma","743","3552","01166","0512161(10)","0511741","-37","147","150","Goscombeetal(2003b)"
"NK58","Semipeliteschist","Neoproterozoiccover—top","NL15","550Ma","291","1141","01541","0512295(20)","0511740","-37","200","150","Goscombeetal(2005)"
"NK189b","Migmatiticgneiss","Neoproterozoiccover—top","NH059","550Ma","1222","5573","01325","0512012(18)","0511535","-77","200","182","Goscombeetal(2005)"
"NI131","Orthogneiss","CongoCraton","","550Ma","336","2880","00738","0510814(18)","0510548","-270","244","332","Janoušeketal(2010)"
"NI132","Orthogneiss","CongoCraton","","550Ma","488","3130","00994","0511575(11)","0511217","-139","200","230","Janoušeketal(2010)"
"NH155","Orthogneiss","CongoCraton","","550Ma","865","5120","01021","0511611(09)","0511243","-134","200","226","Janoušeketal(2010)"
"K983b","Bt–Msschist","CongoCraton","","550Ma","1033","5591","01120","0511559(14)","0511155","-151","226","240","Goscombeetal(2003b)"
"BK5a","Dioriticgneiss","CongoCraton","","550Ma","838","3959","01280","0511400(18)","0510939","-194","291","273","Sethetal(2002)"
"N8a","Diorite–gneiss","CongoCraton","","550Ma","573","3135","01105","0511176(18)","0510778","-225","276","297","Sethetal(2002)"
"BK445a","Dioriticgneiss","CongoCraton","","550Ma","519","3208","00978","0511016(02)","0510664","-247","267","314","Sethetal(2002)"
"BK439a","Augengneiss","CongoCraton","","550Ma","1560","9867","00956","0511049(18)","0510705","-239","258","308","Sethetal(2002)"
"BK10a","Layeredgneiss","CongoCraton","","550Ma","1860","13000","00864","0510752(14)","0510441","-291","274","348","Sethetal(2002)"
"BK446a","Dioriticgneiss","CongoCraton","","550Ma","1860","13000","01134","0511185(14)","0510776","-225","282","297","Sethetal(2002)"
"BK3a","Dioriticgneiss","CongoCraton","","550Ma","674","3650","01116","0511136(22)","0510734","-234","284","304","Sethetal(2002)"
"BK29a","Augengneiss","CongoCraton","","550Ma","720","4450","00978","0510913(18)","0510561","-267","280","330","Sethetal(2002)"
"BK1a","Graniticaugengneiss","CongoCraton","","550Ma","534","3032","01065","0511061(24)","0510677","-245","282","312","Sethetal(2002)"
"NI123","Btparagneiss","CoastalTerrane","","650Ma","476","2430","01184","051199(10)","0511486","-61","176","177","Janoušeketal(2010)"
"NI130","Btparagneiss","CoastalTerrane","","650Ma","1055","5650","01129","0512138(09)","0511657","-28","145","151","Janoušeketal(2010)"
"BK503a","Granuliticgneiss","CoastalTerrane","","650Ma","629","2800","01358","0511698(10)","0511119","-133","265","233","Sethetal(2008)"
"BK27a","Metagranodiorite","CoastalTerrane","","650Ma","1260","7155","01063","0512186(18)","0511733","-13","130","139","Sethetal(2002)"
"BK425c","Metagranodiorite","CoastalTerrane","","650Ma","529","3345","00956","0512009(18)","0511602","-39","141","160","Sethetal(2002)"
"D13","Migmatiticgneiss","CoastalTerrane","","650Ma","657","3461","01147","0511970(08)","0511481","-62","172","178","Masbergetal(2005)"
"D87","Migmatiticgneiss","CoastalTerrane","","650Ma","639","3544","01144","0511689(06)","0511202","-117","212","221","Masbergetal(2005)"
"D72","Migmatiticgneiss","CoastalTerrane","","650Ma","626","3434","01153","0511814(06)","0511323","-93","196","202","Masbergetal(2005)"
