"V","461","533","559","566","565","525","605","657","659","711","482","576"
"Ni","53300","","693006210060900","","51500","60300","57100","31400","33400","","358004120034600",""
"Cu","3490","3410","3010","3050","3700","3550","3310","4890","7730","6430","1950014200",""
"Ge","162","159","183","172","174","181","174","173","176","167","158","174"
"Rb","204","206","105","106","091","110","101","199","112","086","166","064"
"Sr","160","143","123","120","114","127","117","132","140","114","113","116"
"Y","1270","1110","1300","1170","1210","1160","1210","1240","1280","1110","912","1020"
"Zr","5670","4730","4970","4730","5320","4810","4950","5670","5800","5080","3380","3700"
"Nb","701","589","432","445","772","596","492","752","789","742","310","250"
"Ba","24","31","14","18","15","20","17","24","21","15","22","7"
"Hf","218","195","210","195","217","197","210","224","231","205","143","180"
"Ta","061","052","038","041","066","053","043","068","071","069","028","026"
"Th","069","036","028","025","029","023","027","028","025","014","031","012"
"U","017","012","008","007","008","008","008","009","007","005","012","005"
"Ba/Th","34","85","51","73","54","89","63","84","84","107","70","58"
"La/Nb","104","096","121","104","070","082","100","068","064","049","147","132"
"Th/Ta","114","069","072","062","043","043","062","042","035","020","112","045"
"","Middlezone","","","","","","","","","","","Upperzone"
"Sample","HG13","HG14","HG15","HG16","HG17","HG18","HG19","HG20","HG21","HG22","HG23","HG24"
"RocktypeCpx","","Cpx","Ocp","Cpx","Cpx","","Mt-CpxMt-CpxOcp","","Ore","Ore","Ocp","Cpx"
"Height(m)4400","","4700","4900","6500","6800","7500","7800","8200","8700","9000","1020011000",""
"Majoroxides(wt%)","","","","","","","","","","","",""
"SiO2","3377","3632","3726","3483","3479","2215","2328","3816","1685","1126","3631","4171"
"TiO2","917","1265","527","1289","855","943","893","488","2149","1345","552","312"
"Al2O3","390","381","397","399","439","310","323","417","315","348","460","416"
"Fe2O3","2801","1955","2405","2024","2782","3823","3811","2156","4467","5607","2287","1374"
"MnO","020","019","019","018","019","024","025","017","029","021","016","014"
"MgO","1264","1226","1547","1206","1188","2077","2135","1384","724","1375","1184","1887"
"CaO","1242","1417","1223","1402","1338","173","186","1447","608","008","1288","1787"
"Na2O","029","021","027","022","028","046","008","031","017","002","032","008"
"K2O","005","004","005","003","004","008","003","006","002","001","006","001"
"P2O5","005","010","017","026","008","008","013","012","003","003","007","042"
"LOI","trace","071","107","064","001","259","275","077","trace","195","572","008"
"Mg-no","47","56","56","54","46","52","53","56","24","33","51","73"
"Total","10050","9929","9893","9872","10140","9627","9726","9774","10000","9836","9461","10013"
"P2O5/K2O110","","267","316","857","202","108","375","204","114","3242","061","142"
"","Traceelement(ppm)","","","","","","","","","","",""
"Cu","31400","","246001010025800","","22500","6510","6800","15200","14100","","189001990011700",""
"Cr","1620","163","1150","135","475","3850","3750","1220","82","6300","885","2360"
"La","341","654","609","982","512","222","283","615","101","054","491","249"
