"SampleRocktype","","Rb","Sr","(87Sr/86Sr)m","(87Sr/86Sr)i","Sm","Nd","(143Nd/144Nd)m","(143Nd/144Nd)i","εNd(i)"
"HG0","Ocp","204","160","0706195","0706059","431","164","0512521","0511991","-23"
"HG6","Ocp","101","117","0706056","0705964","416","145","0512539","0511961","-19"
"HG18","Cpx","0806","402","0706288","0706074","074","327","0512514","0512058","-24"
"HG19","Ocp","0983","476","0706343","0706123","0909","413","0512500","0512056","-27"
"HG25","Gb","395","1260","0706602","0706268","278","907","0512583","0511965","-11"
"HG28","Mt-Gb","0419","55","0705746","0705665","236","841","0512605","0512040","-06"
"HG31","Mt-Gb","0459","361","0705787","0705651","12","365","0512615","0511953","-04"
"BFQ-1","Basalt","564","520","0705394","0705278","592","279","0512585","0512157","-10"
