"","Mineral/Rock/Sampl","176Lu/177","","","εHf(t","","AgePT","176Hf/177Hf","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","eNumber","Hf","176Hf/177Hf","2σ",")","2σ","I","(i)","ɛHf(i)","TDMHf"
"SungValleyintrusion","","","","","","","","","",""
"","Zrn;nphsyenite;","","","","","04R","00106","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"1","SV52ABdy;carbonatite;","000051","0282562","12","","","800105","0282562","-743","096"
"2","SV73","000007","0282815","8","","","0","0282815","152","061"
"Jasraintrusion","","","","","USC","","","","",""
"","Bdy;nph","","","","","","00105","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"1","monzodiorite;JS5G","0000122","0282702","6","","05","000106","0282702","-248","076"
"2","Bdy;syenite;JS5S","000008","0282668","16","-138","7","8","0282668","-368","081"
"","","","","","","03","00105","","",""
"3","Zrn;syenite;JS5S","000098","0282673","10","-127","5","0","0282673","-350","082"
