"2","Perovskite from  clinopyroxenite;  JS15P","In situ U-Pb  SIMS","101.6±1.2","This study"
"","Zircon and baddeleyite from  syenite;","","",""
"3","","U-Pb TIMS","105.2±0.5","Heaman  et al. (2002)"
"","JS5S","","",""
