"","Material/SampleNoAC","Method","Age(Ma)","Reference(s)"
"A","TheSungValleyintrusion","","",""
"","","","",""
"","","","",""
"12","Perovskitefromijolite;SV10Perovskitefromdunite;SV31","InsituU-PbSIMSInsituU-PbSIMS","1040±131091±16","ThisstudyThisstudy"
"3","Perovskitefromuncompahgrite;SV33","InsituU-PbSIMS","1017±36","Thisstudy"
"4","Zirconfromnephelinesyenite;SV52A","InsituU-PbSIMS","1068±15","Thisstudy"
"","","","","Srivastavaetal"
"5","Perovskitefromijolite;SV58","U-PbTIMS","1151±51",""
"","","","","(2005)"
"","Wholerockpyroxeniteandphlogopite","","",""
"6","","Ar-Ar","1072±08","Rayetal(1999)"
"","fromcarbonatite","","",""
"","Wholerockcarbonatiteandpyroxenite,","","",""
"7","","Rb-Sr","106±11","Rayetal(2000)"
"","andphlogopitefromcarbonatite","","",""
"B","TheJasraintrusion","","",""
"1","Zirconfromsyenite;JS5S","InsituU-PbSIMS","1068±08","Thisstudy"
