"","WR;nphsyenite;","","","","-","","-","",""
"12","","01111","0512014","7","","0141050511938","","128","1"
"","SV25","","","","1102","","1103","",""
"13","WR;ijolite;SV46","00984","0512371","5","-389","011050512303","-389","079","1"
"14","WR;carbonatite;SV49","01029","0512611","7","073","01410720512539","076","054","1"
"15","WR;carbonatite;SV54","01018","0512611","11","075","02110720512540","077","054","1"
"","WR;carbonatite;","","","","","","","",""
"16","","01035","051266","-","168","-10720512587","170","049","2"
"","GC1162","","","","","","","",""
"","WR;carbonatite;","","","","","","","",""
"17","","00994","051264","-","134","-10720512570","137","050","2"
"","GC1163","","","","","","","",""
"","WR;carbonatite;","","","","","","","",""
"18","","00994","051265","-","154","-10720512580","157","049","2"
"","GC1164","","","","","","","",""
"","WR;carbonatite;","","","","","","","",""
"19","","00815","051265","-","178","-0512593","181","043","2"
"","GC1165","","","","","","","",""
"","WR;carbonatite;","","","","","PT","","",""
"20","","00999","051264","-","134","-0512570","136","050","2"
"","","","","","","","","",""
"","GC1166","","","","","","","",""
"","WR;carbonatite;S-","","","","","I","","",""
"21","102","011","051262","-","081","10720512543","084","056","3"
"","WR;carbonatite;S-","","","","","R","","",""
"","","","","","","","","",""
"22","111","01","051265","-","","10720512580","156","049","3"
"","WR;carbonatite;S-","","","","","","","",""
"23","","011","051262","-","","-10720512543","084","056","3"
"","114","","","","USC","","","",""
"","WR;carbonatite;S-","","","","","","","",""
"24","","011","051265","-","","-10720512573","142","053","3"
"","115","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"2526","WR;uncomh;S-24WR;uncomh;S-28","","","","081","-1050512451-1050512544","-102081","078056","33"
"27","WR;pyroxenite;S-15","","","","-147","-1050512428","-147","075","3"
"28","WR;pyroxenite;S-69","","","","-075","-1050512464","-075","066","3"
"","","","","","-","","-","",""
"29","WR;syenite;S-8","","","","","-1050511888","","143","3"
"","","","","","1201","","1201","",""
"","","","","","-","","-","",""
"30","WR;syenite;S-34","","","","","-1050511831","","163","3"
"","","","","","1312","","1312","",""
"","","","","","-","","-","",""
"31","WR;syenite;S-35","","","","","-1050511968","","133","3"
"","","CEPTEDMAN","","","1045","","1045","",""
"","","","","","-","","-","",""
"32","WR;syenite;S-46","","","","","-1050511948","","136","3"
"","","","","","1084","","1084","",""
"33","WR;syenite;S-65","","","","-199","-1050512401","-199","085","3"
"Jasraintrusion","","","","","","","","",""
"1","Ap;essexite;JS2","","","","-134","0251050512434","-135","062","Thisstudy"
"","Ap;nphmonzodiorite;","","","","","","","",""
"2","","","","","-119","0181050512442","-119","059","Thisstudy"
"","JS5G","","","","","","","",""
"3","Ap;syenite;JS5S","","","","-098","01510680512452","-095","059","Thisstudy"
"4","Prv;pyroxenite;JS15P","","","","-087","02410160512459","-095","058","Thisstudy"
"5","Ttn;pyroxenite;JS15PAC","01331","051253","27","-166","03910160512442","-128","081","Thisstudy"
"6","Ap;pyroxenite;JS15P","00962","0512483","10","-168","0210160512419","-172","065","Thisstudy"
"","Ap;clinopyroxenite;","","","","","","","",""
"7","","00793","0512347","10","-411","0191050512293","-410","071","Thisstudy"
"","JS16","","","","","","","",""
"","Ap;olmonzodiorite;","","","","","","","",""
"8","","0088","0512428","13","-269","0251050512368","-264","067","Thisstudy"
"","JS34","","","","","","","",""
"9","Ttn;shonkinite;JS39","0133","0512507","29","-165","0531050512416","-170","085","Thisstudy"
"10","Ap;shonkinite;JS39","00936","0512439","16","-248","0311050512375","-250","069","Thisstudy"
"","Ap;ampmonzodiorite;","","","","","","","",""
"11","","00925","0512496","8","-135","0151050512432","-137","062","Thisstudy"
"","JS42","","","","","","","",""
"12","WR;syenite;JS5S","009221","051245","11","-227","02210680512386","-224","067","4"
"","WR;nphsyenite;","","","","","","","",""
"13","","01103","0512334","6","-478","0121050512258","-477","090","4"
"","JS15S","","","","","","","",""
"","WR;clinopyroxenite;","","","","","","","",""
"14","","008677","0512487","6","-147","0121050512427","-147","061","4"
"","JS22","","","","","","","",""
