"name","value"
"PPOclip","02"
"PPOlearningrate","00001"
"PPOmaxepoch","5"
"PPObatchsize","80"
"PPOtargetKL","01"
"Valuefunctionlossscale","1"
"γ","0999"
"GAEλ","095"
"GAEnormalized","True"
"Adaptercontractionfactor","8"
"VPTKLlossscale","03"
"VPTKLlossscaledecay","0999"
"Eq1H","16"
"Eq2a","0005"
"Eq2b","21"
"Eq2W","50"
