"Sample","Rb","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er"
"SouthPaganpost-caldera","","","","","","","","","","","","","",""
"TM-06-275","219","0660","217","807","176","261","120","341","102","397","069","434","092","259"
"TM-06-214","223","0645","216","805","176","262","120","339","105","405","069","438","093","259"
"TM-06-24","194","0570","198","756","164","246","112","320","103","375","065","406","088","245"
"TM-06-18","385","116","373","140","301","436","195","524","139","596","102","647","137","391"
"SouthPaganpre-caldera","","","","","","","","","","","","","",""
"TM-06-05","227","0688","238","910","200","298","138","385","119","454","078","496","105","295"
"TM-06-202","153","0361","202","747","161","238","111","315","099","369","063","405","085","242"
"CVRDike","","","","","","","","","","","","","",""
"TM-06-217","81","0180","100","427","918","144","693","212","083","260","044","280","057","161"
"Late-StageCVR","","","","","","","","","","","","","",""
"TM-06-03","207","0305","252","917","196","292","133","370","120","430","075","474","101","286"
"TM-06-34","153","0416","196","740","157","241","111","320","108","378","064","411","086","246"
"CentralVolcanicRegion","","","","","","","","","","","","","",""
"TM-06-216","91","0221","149","587","129","195","950","286","102","341","058","370","077","217"
"TM-06-236","75","0124","147","614","130","196","938","271","098","315","053","334","070","197"
"TM-06-237","77","0151","151","591","128","193","928","273","097","323","055","348","073","205"
"TM-06-239","93","0258","167","616","130","194","906","265","094","312","052","327","070","194"
"TM-06-245","78","0074","160","584","124","187","883","256","094","300","050","320","068","190"
"TM-06-243","145","0239","208","736","154","227","105","296","099","343","058","366","077","219"
"HawaiianRockStandard","","","","","","","","","","","","","",""
"Kil1919a","95","0095","133","159","384","554","250","640","214","654","101","565","105","259"
"±","01","0002","0","00","00","006","01","004","006","001","001","005","001","001"
"Kil1919b","98","0093","131","154","382","551","245","612","208","626","091","529","098","253"
"Sample","Tm","Yb","Lu","Th","Y","Nb","Hf","U","Pb","Ta","Zr","Sr","Sc",""
"SouthPaganpost-caldera","","","","","","","","","","","","","",""
"TM-06-275","038","246","039","124","247","194","216","0611","323","013","962","294","231",""
"TM-06-214","038","248","039","123","250","198","213","0625","330","013","957","315","240",""
"TM-06-24","036","234","037","109","238","182","195","0550","293","012","878","337","217",""
"TM-06-18","058","378","060","230","367","353","383","112","449","024","170","256","150",""
"SouthPaganpre-caldera","","","","","","","","","","","","","",""
"TM-06-05","044","280","045","130","276","220","239","0639","129","014","104","322","175",""
"TM-06-202","036","229","037","101","230","180","182","0474","251","012","785","318","227",""
"CVRDike","","","","","","","","","","","","","",""
"TM-06-217","024","143","023","045","151","069","078","0198","124","0042","318","369","337",""
"Late-StageCVR","","","","","","","","","","","","","",""
"TM-06-03","043","280","046","127","276","209","217","0608","225","014","968","347","170",""
"TM-06-34","036","233","037","092","234","168","171","0432","270","011","749","367","228",""
"CentralVolcanicRegion","","","","","","","","","","","","","",""
"TM-06-216","032","201","032","069","208","103","108","0282","214","0060","445","408","272",""
"TM-06-236","029","179","029","073","186","097","096","0282","178","0057","398","441","271",""
"TM-06-237","030","188","030","069","193","099","103","0300","259","0058","421","435","285",""
"TM-06-239","028","180","029","074","186","107","099","0325","266","0060","421","496","222",""
"TM-06-245","028","176","028","069","181","100","095","0312","226","0055","397","487","221",""
"TM-06-243","032","208","033","102","207","156","147","0476","296","010","640","420","210",""
"HawaiianRockStandard","","","","","","","","","","","","","",""
"Kil1919a","034","195","029","130","269","194","377","0460","111","147","180","406","243",""
