"Sample","LOI","Y","Sr","Rb","Zr","Ni","Cr","V","Ba"
"TM-06-236","-0.22","18.8","453","7.4","40","14","8","362","153"
"TM-06-237","-0.30","18.2","436","7.0","41","17","17","351","145"
"TM-06-123","-0.03","17.9","442","6.7","43","17","14","342","151"
"TM-06-122","-0.04","17.5","445","9.5","40","18","18","339","155"
"TM-06-121","-0.08","18.1","469","7.7","40","17","25","333","160"
"TM-06-238","-0.15","17.2","476","8.7","39","18","28","327","158"
"TM-06-239","0.04","17.2","448","8.3","39","24","54","328","153"
"TM-06-245","-0.16","17.0","473","7.4","40","18","26","337","156"
"TM-06-243","0.28","19.4","395","14.3","59","20","49","302","192"
"Hawaiian Rock Standard","","","","","","","","",""
"Kil1919a","-0.48","27.0","405","9.3","176","103","261","320","136"
"Kil1919b","–","24.7","395","9.0","177","101","266","284","124"
