"Location","Sediment","Melting","Fluidcontent"
"Agrigan","16–24%(20%)","24–47%(35%)","Low"
"MtPagan","06–14%(09%)","41–73%(50%)","High"
"CVR","09–21%(14%)","30–43%(36%)","Low"
"SouthPagan","17–19%(18%)","40–47%(43%)","Low"
"Guguan","03–09%(06%)","90–146%(110%)","High"
