"Descriptiona","","","","","","","","","","","","Apparent ages (Ma)","","",""
"","Longitude","Latitude","Weight","","Th","Pb","TCPb","206Pb/","206Pb/238Ub","207Pb/235Ub","207Pb/206Pbb","206Pb/238U","207Pb/235U","207Pb/","Discordance"
"","","","(μg)","U (
ppm)","(ppm)","(ppm)","(pg)","204Pb","","","","","","206Pb","[%]"
"West Greenland — Sarfartoq","","","","","","","","","","","","","","",""
"483815 (WA Concordia age = 556.7 ± 2.6 Ma; 2σ)","− 50.714180","66.387985","","","","","","","","","","","","",""
"1. Dark brown octahedrons; M@0.4A (150)c","","","40","29","292","11","82","75.1","0.09042 ± 23","0.7138 ± 123","0.05726 ± 100","558.0 ± 1.3","547.0 ± 7.3","502 ± 38","− 11.8"
"4. Black blocky fragments; M@0.4A (90)","","","54","31","363","15","168","73.3","0.08926 ± 59","0.7024 ± 199","0.05707 ± 163","551.1 ± 3.5","540.2 ± 11.8","494 ± 62","− 12.0"
"491803 (Concordia age = 579.8 ± 2.8 Ma; 2σ)","− 51.177030","66.301576","","","","","","","","","","","","",""
"3. Dark brown cubes; M@0.5A (200)","","","264","50","183","11","512","170","0.09405 ± 25","0.7750 ± 69","0.05976 ± 55","579.5 ± 1.5","582.6 ± 4.0","595 ± 20","2.7"
"491807 (WA Concordia age = 581.9 ± 1.3 Ma; 2σ)","− 51.180900","66.301985","","","","","","","","","","","","",""
"2. Dark brown cubes; M@0.5A (150)c","","","261","49","186","11","509","168","0.09494 ± 89","0.7740 ± 10","0.05913 ± 55","584.7 ± 5.3","582.0 ± 5.8","572 ± 20","− 2.4"
"3. Dark brown cubes/octahedrons; M@0.5A (200)","","","335","49","177","11","673","163","0.09426 ± 26","0.7841 ± 72","0.06033 ± 57","580.7 ± 1.5","587.8 ± 4.1","616 ± 20","5.9"
"491912 (WA Concordia age = 580.6 ± 3.5 Ma; 2σ)","− 51.839667","66.405794","","","","","","","","","","","","",""
"1. Brown fragments; M@0.5A (120)c","","","125","26","220","9","242","133","0.09426 ± 47","0.7401 ± 172","0.05695 ± 130","580.7 ± 2.8","562.5 ± 10.0","490 ± 50","− 19.5"
"2. Brown fragments; M@0.5A (150)c","","","94","23","142","7","128","122","0.09453 ± 36","0.7525 ± 112","0.05773 ± 87","582.3 ± 2.1","569.7 ± 6.5","520 ± 33","− 12.6"
"3. Brown fragments; M@0.5A (150)c","","","91","22","135","7","118","123","0.09527 ± 38","0.7631 ± 110","0.05809 ± 85","586.6 ± 2.2","575.8 ± 6.3","533 ± 32","− 10.5"
"4. Brown fragments; M@0.5A (200)","","","145","96","550","26","451","200","0.09396 ± 22","0.7676 ± 61","0.05925 ± 48","578.9 ± 1.3","578.4 ± 3.5","576 ± 17","− 0.5"
