"","87Sr/","143Nd/","206Pb/","Sr","Nd","Pb"
"","86Sr","144Nd","204Pb","(ppm)","(ppm)","(ppm)"
"Altered MORB","0.70260","0.51310","18.480","114","17","0.54"
"Pacific Sediment","0.70950","0.51240","18.700","329","116","110"
