"Sample","LithologyAge","","Rb","Sr","","(87Sr/86Sr)mError","87Rb/","(87Sr/86Sr)I","Sm","Nd","143Nd/","Error","147Sm/",""
"","","","","","","","","","","","","","","qNd"
"","","","(ppm)","(ppm)","","(inppm)","86Sr","","(ppm)","(ppm)","144Nd","(inppm)","144Nd","(t)a"
"ArdleyandKingGeorgeIslands","","","","","","","","","","","","","",""
"990114003","basaltic","58","11","510","070362","20","006255","070357","4","18","051295","22","013436","658"
"","andesite","","","","","","","","","","","","",""
"990112001","basalt","58","6","672","070376","17","002589","070374","2","9","051294","10","013436","637"
"990112003","andesite","44","17","615","070360","20","008020","070355","4","17","051276","17","014226","278"
"990112010","basaltic","58","23","593","070340","18","011201","070331","4","17","051292","10","014226","591"
"","andesite","","","","","","","","","","","","",""
"AF-5","basalt","58","9","551","070337","10","004632","070333","3","9","051300","11","014839","730"
"AF-14","basalt","58","4","636","070347","23","001997","070346","3","10","051297","14","015353","672"
"GreenwichIsland","","","","","","","","","","","","","",""
"HA-11","basalt","98","9","736","070384","9","003449","070379","3","10","051292","10","015878","587"
"HA-82A","tonalite","80","47","476","070399","14","028634","070367","5","21","051290","8","014395","562"
"HA-191","basalt","98","25","491","070399","17","014766","070379","3","11","051292","11","016489","590"
"HA-20","tonalite","80","54","443","070438","17","035350","070398","4","16","051284","12","015115","444"
"HY-4","tonalite","80","73","424","070411","14","049526","070354","6","25","051289","9","013909","535"
"PA-81A","gabbro","80","6","548","070404","9","002963","070400","3","11","051287","10","014821","490"
"LivingstonIsland","","","","","","","","","","","","","",""
"98011501","basalt","115","8","461","070440","19","005033","070431","4","12","051287","12","020153","452"
"98012002","basalt","130","5","476","070413","28","003046","070407","4","12","051284","14","020153","392"
"98012202","basalt","115","5","574","070428","16","002526","070424","2","8","051288","8","015115","506"
"98012301","andesite","130","25","438","070460","18","016553","070429","6","26","051274","9","013952","271"
"98012501","basaltic","130","22","369","070427","16","017290","070395","4","16","051282","16","015115","405"
"","andesite","","","","","","","","","","","","",""
"RobertIsland","","","","","","","","","","","","","",""
"96020701","basalt","82","13","538","070421","35","007007","070413","5","18","051280","42","015115","354"
"96022001","basalt","82","3","482","070402","23","001805","070400","2","9","051284","11","013436","455"
"96022005","basalt","82","6","473","070354","34","003372","070350","2","6","051284","10","020153","395"
"96022302","basalt","60","2","636","070383","25","000912","070382","2","9","051291","9","013436","584"
