"","MAPPO","IQL","MAA2C","QMIX","VDN"
"Median","085±004","011±006","035±003","003±002","007±003"
"IQM","085±003","012±005","039±005","00±001","006±003"
"Mean","083±004","013±004","041±004","002±002","007±002"
"OptimalityGap","017±004","087±004","059±004","098±002","093±002"
