"NumberofAgents","Baseline","AgentImportance","ShapleyValue"
"2","00018±00002","00074±00001","00079±00014"
"4","00023±00003","00118±00024","00313±00041"
"10","00038±00012","00392±00022","3544±0156"
"20","00088±00007","01697±00159","80653697±8321829"
"50","00401±00019","16947±02295","—"
