"","MAPPO","IQL","MAA2C","QMIX","VDN"
"Median","084±003","087±001","098±001","067±012","078±006"
"IQM","085±001","071±004","097±001","058±003","067±004"
"Mean","085±001","064±002","095±001","056±002","061±002"
"OptimalityGap","015±001","036±002","005±001","044±002","039±002"
