"","","","","","","","C"
"Spot","Age(Ma)","176Yb/177Hf","176Lu/177Hf","176Hf/177Hf","2σ","εHf(t)","(Ma)TDM"
"HuitonggraniteHT-9a","","","","","","",""
"HT-9a-01","418","0030466","0000942","0282319","0000022","−71","1853"
"HT-9a-02","415","0061024","0001843","0282291","0000025","−84","1933"
"HT-9a-03","418","0059225","000182","0282361","0000025","−58","1775"
"HT-9a-04","416","0036752","0001067","028231","0000019","−75","1878"
"HT-9a-05","418","0050379","0001485","0282303","0000021","−78","1899"
"HT-9a-06","414","0055084","0001676","0282295","0000019","−82","1922"
"HT-9a-07","413","0046947","0001383","0282324","0000021","−71","1854"
"HT-9a-08","415","0032947","0001035","0282279","0000022","−86","1947"
"HT-9a-09","415","0047685","0001477","0282315","0000026","−75","1874"
"HT-9a-10","415","0064988","0001821","0282302","0000024","−80","1909"
"HT-9a-11","412","0040569","0001257","0282333","0000023","−68","1831"
"HT-9a-12","412","0054973","0001682","0282108","0000027","−149","2340"
"HT-9a-13","418","0049694","000144","0282350","0000029","−61","1792"
"HT-9a-14","415","0035155","0001028","0282271","0000022","−89","1965"
"HT-9a-15","415","0042306","000127","0282326","0000021","−70","1845"
"HT-9a-16","415","00363","0000992","0282300","0000018","−79","1900"
"HT-9a-17","415","0057234","0001673","0282330","0000024","−70","1844"
"HT-9a-18","416","0058111","0001799","0282286","0000025","−85","1944"
"HT-9a-19","415","0039122","0001138","0282291","0000024","−82","1921"
"HT-9a-20","415","0046342","0001398","0282188","0000024","−119","2155"
"HT-9a-21","415","0044926","0001317","0282310","0000024","−76","1883"
"HT-9a-22","415","0039077","0001216","0282310","0000031","−75","1880"
"HT-9a-23","415","0059626","0001735","0282359","0000024","−60","1781"
"HT-9a-24","415","0033463","0001143","0282269","0000026","−90","1971"
"EpograniteEP-4","","","","","","",""
"EP-4-01","444","0026319","0000853","0282304","0000034","−70","1870"
"EP-4-02","411","0047155","0001428","0282297","0000023","−81","1915"
"EP-4-03","413","003768","0001203","0282327","0000025","−70","1843"
"EP-4-04","445","0053114","0001575","0282279","0000021","−81","1938"
"EP-4-05","415","0021434","0000662","0282372","0000019","−52","1733"
"EP-4-06","446","0045013","0001508","0282211","0000021","−105","2087"
"EP-4-07","444","0021077","0000666","0282377","0000022","−44","1704"
"EP-4-08","419","0037801","000113","0282410","0000023","−39","1653"
"EP-4-09","416","0032953","0001035","0282343","0000021","−63","1802"
"EP-4-10","412","0020885","0000629","0282364","000002","−55","1751"
"EP-4-11","414","0018651","0000567","0282376","0000021","−51","1723"
"EP-4-12","444","0027322","0000833","0282272","0000023","−82","1942"
"EP-4-13","443","0019378","000061","0282313","0000020","−67","1847"
"EP-4-14","411","0050961","0001415","0282313","0000020","−76","1879"
"EP-4-15","408","0029198","000088","0282386","0000019","−49","1710"
"EP-4-16","411","0024776","0000756","0282386","0000022","−48","1705"
"EP-4-17","415","0018603","000059","0282291","0000025","−81","1912"
"EP-4-18","418","0043035","000133","0282292","0000025","−81","1921"
"MMEHT-9binHuitonggranite","","","","","","",""
"HT-9b-01","415","0057196","0001763","0282316","0000029","−75","1876"
"HT-9b-02","415","0062632","0001826","0282282","0000034","−87","1953"
"HT-9b-03","415","0038835","0001242","0282349","0000029","−62","1794"
"HT-9b-05","415","0043641","0001397","0282274","0000026","−89","1963"
"HT-9b-06","415","0071625","0002129","0282322","0000042","−74","1870"
"HT-9b-07","415","0052593","0001707","0282246","0000031","−100","2032"
"HT-9b-08","415","0082965","0002376","0282434","000003","−35","1624"
"HT-9b-09","415","0055835","0001612","0282265","0000059","−92","1986"
"HT-9b-10","415","0048348","000142","0282199","0000051","−115","2131"
"HT-9b-11","415","0050016","0001564","0282373","0000039","−54","1745"
"HT-9b-12","415","0082154","0001872","0282243","0000056","−101","2040"
