"","Huitonggranite","","Epogranite","","MME"
"Samples","HT-8","HT-9a","EP-7","EP-9","HT-9b"
"","n=11","n=12","n=9","n=10","n=11"
"SiO2","3455","3325","3514","3524","3556"
"TiO2","266","228","246","275","265"
"Al2O3","1876","1739","1808","1883","1775"
"FeO","2437","2755","2665","2230","2357"
"MnO","037","039","041","038","030"
"MgO","643","596","552","719","808"
"CaO","003","002","007","001","005"
"Na2O","010","019","008","009","014"
"K2O","963","951","916","949","923"
"F","033","032","020","006","000"
"Total","9707","9662","9767","9628","9732"
"Si","532","526","541","539","541"
"AlIV","268","274","259","261","259"
"AlVI","073","050","070","079","059"
"Ti","031","027","029","032","030"
"Mg","148","140","127","164","183"
"Fe","314","364","343","285","300"
"Mn","005","005","005","005","004"
"Ca","000","000","001","000","001"
"K","189","192","180","185","179"
"Na","003","006","002","003","004"
"F","016","016","010","003","003"
"OH*","384","384","390","397","397"
"Fe2+/(Fe2++Mg2+)","068","072","073","064","062"
