"","Huitonggranite","","","","","","","Epogranite","","","","","","MME"
"Element","HT-1","HT-2","HT-5","HT-7","HT-8","HT-9a","HT-10","EP-1","EP-2a","EP-4","EP-7","EP-9","EP-10","HT-9b"
"SiO2","7396","7175","7070","7176","7070","6723","6892","6696","6694","6989","7100","6980","7100","6413"
"TiO2","028","037","034","027","054","071","065","059","044","047","038","045","042","122"
"Al2O3","1272","1412","1462","1448","1434","1477","1427","1609","1637","1297","1435","1445","1440","1479"
"Fe2O3","153","176","247","066","274","217","187","357","316","310","268","313","283","692"
"MnO","003","005","004","004","005","008","007","006","005","006","005","005","004","012"
"MgO","026","051","059","036","079","105","099","081","074","088","048","060","048","203"
"CaO","014","024","024","025","084","185","115","016","166","233","104","154","047","312"
"Na2O","164","251","245","301","275","295","275","234","404","322","298","298","259","350"
"K2O","594","445","648","638","534","533","477","564","481","456","566","550","595","248"
"P2O5","011","016","011","014","025","026","030","018","020","020","018","020","011","038"
"LOI","200","269","168","119","123","142","187","363","168","206","061","061","114","121"
"Total","9983","9989","9992","9997","9989","9968","9981","10003","10011","9974","9957","9951","9959","9989"
"KN/A","072","063","076","082","072","072","068","062","073","079","077","075","074","057"
"A/CNK","135","15","127","117","121","105","121","157","11","089","111","106","124","105"
"FeOT/MgO","926","538","414","53","349","346","369","396","383","319","503","470","531","307"
"K2O+Na2O","758","696","893","939","809","828","752","798","885","778","864","848","854","598"
"Al2O3/TiO2","454","382","430","536","266","208","220","273","372","276","378","321","343","121"
"AR","387","288","401","452","328","299","290","293","293","307","356","326","370","200"
"Li","3876","7659","4452","3469","14922","5507","6796","3354","3306","657","7587","6979","6377","1066"
"Be","241","569","218","500","394","337","477","230","388","197","306","212","294","404"
"Sc","435","123","589","461","670","982","102","902","634","694","498","605","542","171"
"Ti","1725","2286","2144","1637","3031","4568","4358","3559","2730","3269","2284","2964","2568","8247"
"V","2106","3060","2723","1951","4489","6510","6038","3874","2919","3883","2085","2588","2273","1392"
"Cr","1404","1095","1823","8022","1534","1230","4296","1768","2145","1079","2329","5986","2427","3168"
"Mn","2810","4837","3887","3515","4329","6958","6083","3680","3645","3768","5540","6340","4850","1266"
"Co","106","949","127","649","127","144","101","666","559","682","448","597","625","306"
"Ni","9719","6292","1178","5237","1009","7944","2754","198","537","733","307","512","498","1923"
"Cu","1861","1568","2182","1124","2139","2233","1073","433","397","1332","686","967","546","5013"
"Zn","1444","1655","5367","1175","4046","1450","1130","1641","1072","5668","5946","5908","6485","2374"
"Ga","2041","2205","216","2095","2135","2333","2598","2170","2167","1961","2121","2096","2062","2884"
"Rb","3200","2620","2600","2950","2920","2270","2450","1297","2154","1700","2630","2200","2740","2489"
"Sr","7461","11939","11644","7881","9212","1952","1926","1350","2208","1446","1170","1370","1200","1620"
"Y","2662","3967","2446","2935","2206","2845","2559","2447","2976","2887","2930","3675","2648","4253"
"Zr","2111","2357","2724","2049","2646","3198","3321","4370","2649","2969","1810","2600","2090","4683"
"Nb","2450","2361","2167","1861","2551","2815","2921","2371","1903","2556","2922","3026","2954","4529"
"Mo","1549","1115","1882","8291","1679","1319","4099","329","364","1139","072","215","062","3236"
"Cd","051","068","065","038","055","046","039","029","015","016","000","000","000","098"
"Sn","643","1543","454","606","983","706","792","149","353","34","517","337","468","129"
"Cs","476","792","389","496","1422","638","958","159","426","341","1160","1238","766","142"
"Ba","6010","6530","9760","6330","5850","9410","6930","1826","6960","6500","7660","7940","9060","1930"
"Hf","582","745","664","516","621","765","74","118","709","827","547","745","607","105"
"Ta","215","256","152","18","216","205","276","131","161","175","163","128","157","248"
"W","744","928","958","42","746","574","258","097","069","156","217","154","164","102"
"Bi","036","051","017","025","038","021","022","012","023","013","023","019","026","030"
"Th","1797","2820","2180","1686","2093","2230","2153","1156","2466","1542","3638","3275","3051","2211"
"U","353","519","346","346","337","387","307","109","245","266","317","199","325","169"
"La","6347","7093","609","355","4615","659","6602","4735","5987","3362","5955","6482","5676","7586"
"Ce","7704","11983","1011","7127","9761","1308","1285","6965","1127","6094","1194","1279","1127","1542"
"Pr","1371","1417","1323","826","1132","1446","1438","1073","1343","728","1378","1464","1268","1702"
"Nd","4869","5782","4810","2920","4279","5409","549","4001","5008","2831","5080","5449","4668","6330"
"Sm","861","1096","861","561","800","971","901","771","862","573","942","987","832","121"
"Eu","124","172","139","084","104","157","131","179","146","116","113","143","132","127"
"Gd","722","1078","776","524","665","814","807","697","723","586","837","899","751","114"
"Tb","094","128","085","081","074","093","084","104","114","088","119","131","106","131"
"Dy","578","881","523","541","465","578","503","585","557","549","613","716","558","834"
"Ho","113","221","107","123","091","118","103","106","112","115","111","140","103","171"
"Er","300","639","302","341","247","304","285","305","322","305","329","432","311","464"
"Tm","043","080","038","047","032","041","032","041","042","032","046","063","044","057"
"Yb","256","559","237","271","195","207","185","277","289","144","299","401","288","329"
"Lu","036","079","036","037","030","030","025","040","039","022","045","060","043","049"
"ΣREE","2340","3120","2540","1700","2250","2980","2940","1980","2680","1550","2781","3016","2605","3550"
"(La/Yb)N","1669","855","1732","882","1596","2148","2401","1151","1395","1574","1346","1092","1332","1554"
"(La/Sm)N","464","407","445","398","363","427","461","386","437","369","398","413","429","396"
"(Gd/Yb)N","227","156","264","156","275","318","351","203","202","328","232","185","217","279"
"δEu","016","016","017","015","014","018","015","024","019","02","039","046","051","011"
"10,000×Ga/Al","303","295","279","273","281","298","344","255","250","286","279","274","270","368"
"Zr+Nb+Ce+Y","3392","4188","4196","3241","4097","5073","5153","5548","4264","4123","3589","4549","3777","7103"
"TZr","841","858","8540","820","847","845","868","920","829","822","802","829","827","876"
