"Nameof","Method","Age","Authors",""
"intrusion","(K–Ar)","(Ma)","",""
"Kapıdag˘pluton","Biotite","399±08","Delaloyeand",""
"(North)","","","Bingo¨l","(2000)"
"","Hornblende","422±10","",""
"","Biotite","383±08","",""
"Kapıdag˘pluton","Biotite","382±08","Delaloyeand",""
"(South)","","","Bingo¨l","(2000)"
"","Biotite","361±08","",""
"Karabiga","Biotite","453±09","Delaloyeand",""
"","","","Bingo¨l","(2000)"
"¸evketiye","Muscovite","719±18","Delaloyeand",""
"","","","Bingo¨l","(2000)"
"Ilıca-S¸amlı","Orthoclase","231±12","Bingo¨letal","(1982)"
"","Hornblende","203±11","Bingo¨letal","(1982)"
"","Biotite","235±15","Ataman(1974)",""
