"Sample","Location","Rock","Method","%K","%40Arair","AgeMa"
"numbers","","composition","","","",""
"ZK88","Avs¸aisland","Granite","Biotite","730","51","409±11"
"ZK52","Sarıoluk","Granite","Hornblende","043","714","226±08"
"ZK84","Bug˘daylı/Go¨nen","Dacite","Biotite","759","315","210±06"
"ZK37","Is¸ıklı/Biga","Rhyolite","Wholerock","336","567","273±08"
"IE1","Yeniko¨y","Granite","Wholerock","283","31","201±10"
"IE2A","Davutlar","Granite","Biotite","700","74","216±06"
"IE2B","Davutlar","Granite","Wholerock","243","28","191±11"
"IE2C","Davutlar","Granite","Wholerock","243","27","184±11"
"IE3","Ilıca(South)","Dyke","Wholerock","262","25","197±11"
"IE4A","Ilıca(East)","Granite","Biotite","701","84","217±05"
"IE4B","Ilıca(East)","Granite","Wholerock","247","11","189±18"
"IE4C","Ilıca(East)","Granite","Wholerock","149","14","184±22"
"IE5A","Ilıca(West)","Granite","Biotite","705","91","228±05"
"IE5B","Ilıca(West)","Granite","Wholerock","244","23","195±12"
"IE6A","Kızıldam","Andesite","Wholerock","295","51","184±07"
"IE6B","Kızıldam","Granite","Biotite","541","77","239±06"
"IE6C","Kızıldam","Granite","Wholerock","325","46","207±08"
"IE7A","Kızıldam","Granite","Biotite","647","69","232±08"
"IE7B","Kızıldam","Granite","Wholerock","315","48","223±08"
"IE7C","Kızıldam","Granite","Wholerock","315","50","212±08"
"IE9A","Kızıldam","Granite","Biotite","655","86","234±06"
"IE9B","Kızıldam","Granite","Biotite","599","79","235±07"
"IE9C","Kızıldam","Granite","Wholerock","263","25","212±10"
"IE10A","Yenice(North)","Granite","Biotite","697","88","214±06"
"IE10B","Yenice(North)","Granite","Wholerock","322","18","188±13"
"IE10C","Yenice(North)","Granite","Wholerock","205","33","219±11"
"IE10D","Yenice(North)","Granite","Wholerock","344","20","202±12"
"IE13A","Danis¸ment(East)","Granite","Biotite","728","67","232±11"
"IE13B","Danis¸ment(East)","Granite","Wholerock","913","76","221±06"
"IET47A","Turplu","Andesite","Wholerock","267","31","191±10"
"IET47B","Turplu","Andesite","Wholerock","265","47","197±11"
