"Sample","Name","Rb(ppm)","Sr(ppm)","87Sr/86Sr","Sm(ppm)","Nd(ppm)","143Nd/144Nd","~Nd(T)"
"866","Nordmarkite","127","871","0736516+24","341","1721","0511180+22","-19"
"6178","Nordmarkite","114","258","0724288+28","286","1477","0511145+22","-17"
"566","Feldsyenite","177","1607","0711355+20","1921","1268","0510897+26","23"
"894","Feldsyenite","114","439","0711579_+22","1355","9859","0510705_+26","15"
"961","Feldsyenite","163","1577","0711207_+32","6572","4667","0510694_+28","06"
"618","Clinopyroxene","2","1615","0701552_+32","2407","1481","0511010_+32","22"
