"RocktypeHAG","HAG","HAG","MNZMNZSYN","SYN","SYN","SYN","SYN","SYN"
"Sample87-65*","88-51*","88-55*","TS4TR2TR25","TR21","TR24","TR32","TR33","TR34"
"LocationTirrhistTasse","","TassentTasraf","TirrhistTirrhis","Tirrhis","Tirrhis","Tirrhi","Tirrhi","Tirrhis"
"SiO24901","nt496","51","565571614","636","t61","641","671","659"
"TiO2164","106","123","082114079","074","112","025","018","031"
"Al2O3163","138","142","157169163","184","177","164","168","167"
"Fe2O3977","106","10","1377486","17","67","68","46","44"
"MnO014","014","006","003400790112","0018","0068","0034","0032","0031"
"MgO573","107","109","102104038","08","062","012","013","015T"
"CaO976","73","23","227477138","293","206","051","",""
"Na2O345","301","399","768864718","973","789","684","",""
"K2O132","092","01","072049353","086","259","414","",""
"P2O5022","019","025","0203012","016","015","002","RIP",""
"LOI28","333","458","013296057","164","035","078","",""
"","","","","","","","",""
"","","","","","","","",""
"total10014Sc†","10065295","9861325","98771008210036747748","10058","10025","999903C","03","04"
"","","","","","","","",""
"","","","","","","","",""
"V22Cr291","243529","275327","1741720113","","","","00","121"
"Co†","495","36","15198","","","","2","2"
"Ni58","206","130","12111","","","","27","0"
"Cu64","557","332","1352","","","","0","1"
"Zn71","527","594","271349","MANUS","","","34","34"
"Ga19","†","†","†††","","","","†","†"
"Rb22","†","†","7123422682","","","3147","3947","3762"
"Sr644","173","351","88880243","","","","49","43"
"Y19","182","21","39365362","","","638","32","467"
"Zr120","100","129","286259215","","","781","224","512"
"Nb16","73","99","†","","","","†","†"
"Cs†","†","†","008","","","021","021","020"
"Ba153","503","78","108471","239","355","136","141","130"
"Hf†","†","†","631529","668","883","1291","506","956"
"Ta†","†","†","212246TED","272","319","239","182","284"
"Pb†","†","†","1064179","1307","191","158","162","169"
"La†","57","†","26143535","4496","2691","4145","2400","2569"
"Ce†","161","","53256838","9157","5372","8084","4652","5128"
"Pr†","†","","871","1054","679","940","538","609"
"Nd†","†","","266027573626","4122","2815","3650","2132","2432"
"Sm†","†","","692864","921","751","937","535","625"
"Eu†","†","CEP","440336","229","262","104","075","081"
"Gd†","†","","641750","820","670","900","480","601"
"Tb†","","","117140","150","126","171","094","119"
"","","","","","","","",""
"","","","","","","","",""
"Dy†Ho†","","†","661792143133162","877174","761161","1085242","579120","752168"
"Er†","AC","†","342342389","451","406","623","285","421"
"Tm†","","†","050047057","066","059","104","046","068"
"Yb†","","17","283317366","400","381","608","274","409"
"Lu†","","†","045051059","065","061","102","048","070"
"Th†","†","†","453433298","375","583","720","321","448"
"U†","†","†","148205094","158","184","255","095","171"
"Ce/Pb","","","50117313815","701","2819","5119","2871","3027"
"U/Pb","","","014072052","012","097","162","059","101"
