"Step","40ArAtm. (%)","39ArK (%)","37ArCa/39ArK","40Ar*/39ArK","Age (Ma)"
"12","13.9","1.7","1.7070","0.92","14.571.3"
"Fusion","1.3","3.9","1.2350","1.09","177.270.6"
"","","","","Integrated age:","17.070.1"
