"Sample","Rocktype","87Sr/86Sr","72sm","87Sr/86Sr","143Nd/144Nd","72sm","ecorrected"
"","","","","corrected","","","t¼18Ma"
"","","","","ratios","","",""
"","","","","t¼18Ma","","",""
"KA-154","Alkalibasalt","0703802","0000007","0703782","05128620","0000004","449"
"KA-13","Alkalibasalt","0704651","0000006","0704616","05128190","0000004","368"
"KA-8","Trachybasalt","0705165","0000007","0705129","05127590","0000005","252"
"KA-104","Hornblendeandesite","0704493","0000008","0704448","05128040","0000005","341"
"KA-25","Hornblendeandesite","0704872","0000010","0704811","05127470","0000004","231"
"KA-24","Hornblendeandesite","0704840","0000006","0704874","05127440","0000004","225"
"KA-90","Hornblendeandesite","0704501","0000008","0704448","05128250","0000004","381"
"KA-49","Trachyandesite","0704732","0000007","0704649","05127800","0000004","294"
"KA-307-2","Trachyandesite","0704611","0000008","0704535","05128010","0000004","334"
"KA-296-2","Trachyandesite","0704782","0000008","0704695","05127540","0000004","246"
"KA-299-2","Trachyandesite","0704865","0000007","0704824","05127780","0000004","289"
"KA-45","Daciteporphyry","0704936","0000009","0704889","05128220","0000005","375"
