"Rb,  Sr (at  100 ppm),  Sc, Zr,  Ni","<fl%"
"Mn,  Cr","Gzt2%"
"P (at  0.4 wt.%),  La, Tb,  Ta,  Th","*3%"
"Co,  Ba, Ce,  Sm,  Eu,  Hf","*5%"
"U","k8%"
"cs,  Lu, Yb","rt 18-204;"
