"","","","","±","","","±","","","","","","","","143Nd/144Nd","εNd","176Hf/177Hf","εHf"
"","Depth","","143Nd/144N","","","","","εHf","","","","","","","","","",""
"","","Basement","","","εNd","","","","","","","","","","","","",""
"","","","","2SE","","176Hf/177Hf","2SE","","Sm","Nd","Lu","Hf","Sm/Nd","Lu/Hf","t=49","t=49","t=49","t=49"
"","(mbsf)","Subunit*","","","","","","","","","","","","","","","",""
"","","","d","","††","","","††","","","","","","","","","",""
"","","","","†","","","†","","","","","","","","Ma","Ma","Ma","Ma"
"SiteU1438AndesiteSills","","","","","","","","","","","","","","","","","",""
"1438E61R23-5","140638","","0513013","5","75","0283170","6","136","226","984","0226","101","0230","0223","","","",""
"1438E61R292-95","140728","","0512942","5","61","0283174","4","137","297","118","0293","135","0252","0216","","","",""
"1438E61R295-97","140828","","0512979","4","68","0283175","4","138","","","","","","","","","",""
"1438E62R1124-126","141155","","0512962","4","65","0283182","3","140","262","985","0232","0921","0266","0252","","","",""
"SiteU1438BasementBasalts","","","","","","","","","","","","","","","","","",""
"1438E69R198-101","146190","1a","0513093","6","90","0283296","5","181","171","457","0288","109","0375","0264","0513021","88","0283262","180"
"1438E70R216-19","146670","1a","0513076","4","87","0283293","3","180","198","528","0304","142","0375","0214","0513004","85","0283265","181"
"1438E71R198-101","147110","1a","0513087","5","89","0283293","2","179","178","467","0294","117","0382","0252","0513013","87","0283260","179"
"1438E71R3101-104","147376","1b","0513085","11","89","0283257","4","167","174","418","0312","113","0416","0276","0513004","85","0283221","165"
"1438E71R3101-104(rep)","147376","1b","0513080","6","88","0283254","4","166","174","418","0312","113","","","","","",""
"1438E72R1145-148","147617","1b","0513087","22","89","0283254","5","166","201","469","0314","118","0428","0266","0513004","85","0283220","165"
"1438E73R2123-128","148685","1b","0513036","6","79","0283231","4","158","151","379","0361","0991","0399","0364","0512959","76","0283184","152"
"1438E74R221-24","149571","1c","0513056","5","83","0283272","3","172","222","554","0415","140","0400","0297","0512978","80","0283233","169"
"1438E75R181-85","150463","1c","0513080","4","88","0283296","4","181","207","529","0406","140","0392","0290","0513004","85","0283258","178"
"1438E75R181-85(rep)","150463","1c","0513083","6","88","0283297","4","181","207","529","0406","140","0392","0290","0513007","86","0283259","179"
"1438E76R286-91","150910","1c","0513073","4","86","0283285","6","177","197","495","0384","135","0398","0284","0512996","84","0283248","175"
"1438E76R3105-110","151075","1c","0513074","4","87","0283296","6","181","185","459","0352","122","0403","0289","0512995","84","0283259","178"
"1438E77R153-58","151136","1c","0513070","6","86","0283293","4","180","197","500","0379","134","0393","0284","0512994","83","0283256","178"
"1438E77R341-43","151360","1c","0513062","7","84","0283278","3","174","204","496","0385","131","0411","0294","0512982","81","0283240","172"
"1438E77R341-43(rep)","151360","1c","0513064","5","85","0283272","3","172","204","496","0385","131","","","","","",""
"1438E78R2127-130","151809","1c","0513059","9","84","0283275","4","173","168","416","0326","107","0404","0304","0512980","81","0283236","170"
"1438E78R449-53","152012","1c","0513017","14","75","0283195","8","145","191","473","0381","129","0403","0295","0512939","72","0283156","142"
"1438E78R452-53","152013","1c","0513018","8","76","0283200","3","147","","","","","","","","","",""
"1438E78R452-53(rep)","152013","1c","0513002","6","73","0283200","4","147","","","","","","","","","",""
"1438E79R26-11","152555","1c","0513019","10","76","0283191","4","144","184","460","0377","125","0401","0301","0512941","73","0283152","141"
"1438E79R448-53","152875","1c","0513073","7","86","0283292","5","179","222","569","0423","146","0391","0290","0512997","84","0283255","177"
"1438E80R227-30","153527","1d","0513088","11","89","0283279","6","175","188","456","0353","0956","0413","0369","0513008","86","0283231","169"
"1438E81R1114-119","154407","1d","0513084","5","89","0283269","6","171","187","463","0365","124","0403","0294","0513006","86","0283231","168"
"1438E82R161-66","155264","1d","0513077","5","87","0283284","5","176","191","459","0363","123","0416","0296","0512996","84","0283245","174"
"1438E82R377-80","155549","1d","0513099","11","92","0283275","4","173","183","463","0357","125","0396","0286","0513023","89","0283238","171"
"1438E83R1112-115","156254","1d","0513119","4","95","0283277","3","174","185","447","0352","120","0414","0293","0513039","92","0283239","171"
"1438E83R1112-115(rep)","156254","1d","0513122","16","96","0283280","8","175","185","447","0352","120","0414","0293","0513041","93","0283242","173"
"1438E83R1132-136","156274","1d","0513106","5","93","0283276","6","174","188","458","0351","126","0411","0280","0513027","90","0283240","172"
"1438E83R38-10","156431","1d","0513102","13","92","0283282","4","176","193","461","0365","129","0419","0284","0513020","88","0283245","173"
"1438E84R196-99","157208","1e","0513124","6","96","0283336","3","195","140","322","0293","0867","0435","0338","0513040","92","0283292","190"
"1438E85R145-47","157956","1e","0513121","5","96","0283336","3","195","135","317","0274","0867","0425","0316","0513039","92","0283295","191"
"1438E85R1124-127","158036","1e","0513132","6","98","0283344","6","198","136","315","0288","0877","0431","0328","0513048","94","0283301","193"
"1438E86R125-28","158517","1e","0513126","4","97","0283331","6","193","140","329","0296","0864","0425","0343","0513043","93","0283287","188"
"1438E86R213-16","158641","1e","0513116","18","95","0283333","4","194","138","331","0292","0864","0418","0338","0513035","91","0283289","189"
"1438E87R112-15","159414","1e","0513121","3","96","0283322","4","190","135","310","0283","0884","0435","0320","0513036","92","0283280","186"
"1438E87R1115-118","159517","1e","0513118","4","95","0283332","3","193","153","350","0330","0980","0436","0337","0513034","91","0283288","189"
"1438E87R356-60","159640","1e","0513130","6","98","0283341","6","197","138","316","0286","0868","0436","0329","0513046","93","0283298","192"
"1438E88R1142-145","160454","1f","0513128","7","97","0283297","4","181","176","406","0349","118","0434","0296","0513044","93","0283259","178"
