"","","","87Sr/86Sr","87Sr/86Sr","","","87Sr/86Sr"
"","Depth","","±","","±","","±"
"","","6x","","3x","","1x",""
"","(mbsf)","","2SE","","2SE","","2SE"
"","","Leached","","Leached","","Leached",""
"1438E61R23-5","14064","0704265","6","0704285","19","0704343","29"
"1438E61R292-95","14073","0704186","5","","","",""
"1438E69R198-101","14619","0704725","8","0704710","40","0704820","18"
"1438E72R1145-148","14762","0703865","4","","","",""
"1438E73R2123-128","14868","0703380","7","","","",""
"1438E74R221-24","14957","0703430","6","","","",""
"1438E75R181-85","15046","","","0703401","6","",""
"1438E76R286-91","15091","0703359","7","","","",""
"1438E76R3105-110","15107","0703371","5","0703402","6","",""
"1438E77R153-58","15114","0703361","7","0703383","8","",""
"1438E77R341-43","15136","","","0703477","6","",""
"1438E78R2127-130","15181","","","0703476","7","",""
"1438E78R449-53","15201","0703562","6","0703554","21","",""
"1438E79R26-11","15255","","","0703584","6","",""
"1438E79R448-53","15287","0703398","4","0703433","7","",""
"1438E80R227-30","15353","0705748","4","0705715","8","0705765","8"
"1438E81R1114-119","15441","0703582","6","","","",""
"1438E82R161-66","15526","0703594","6","","","",""
"1438E83R1112-115","15625","0703705","5","","","",""
"1438E83R1132-136","15627","0703637","5","","","",""
"1438E83R38-10","15643","0703652","4","","","",""
"1438E84R196-99","15721","","","0705767","4","",""
"1438E85R145-47","15796","0704763","6","0704624","16","0704682","9"
"1438E85R1124-127","15804","","","0703614","8","",""
"1438E86R125-28","15852","","","","","",""
"1438E86R213-16","15864","0703742","7","","","",""
"1438E87R112-15","15941","0703543","5","0703573","8","0703594","10"
"1438E87R1115-118","15952","0703570","9","0703636","9","",""
"1438E88R1142-145","16045","","","0703537","6","",""
