"","","±","","","","","","","","","","","","","",""
"","","","εNd","","±2SE","εHf","","","","","","","143Nd/144Nd(t)","εNd(t)","176Hf/177Hf(t)",""
"Sample","143Nd/144Nd","2SE","","176Hf/177Hf","","","Sm","Nd","Lu","Hf","Sm/Nd","Lu/Hf","","","","εHf(t)†††"
"","","","††","","†","††","","","","","","","†††","†††","†††",""
"","","†","","","","","","","","","","","","","",""
"ODPSite1201BasementBasalts*","","","","","","","","","","","","","","","",""
"1201D-46R-3(43-45)","0513054","7","83","0283252","4","165","203","600","044","","034","","0512991","82","",""
"1201D-46R-5(6-8)","0513077","7","87","0283256","3","166","221","631","040","226","035","0177","0513012","86","0283234","177"
"1201-48R-2(92-94)","0513134","4","98","0283321","4","190","208","525","037","135","040","0274","0513060","96","0283287","200"
"1201D-48R-4(66-68)","0513143","4","100","0283315","5","187","212","533","039","139","040","0277","0513069","97","0283280","198"
"1201D-49R-1(11-13)","0513148","5","101","0283325","5","191","198","504","036","133","039","0269","0513075","99","0283291","201"
"1201D-49R-1(47-49)","0513139","3","99","0283329","5","192","206","516","037","137","040","0271","0513065","97","0283296","203"
"1201D-49R-3(37-39)","0513135","6","99","0283316","4","188","209","529","039","140","040","0278","0513061","96","0283281","198"
"1201D-51R-1(2-4)","0513136","4","99","0283315","4","187","203","510","037","135","040","0274","0513062","96","0283281","198"
"1201D-52R-2(56-58)","0513142","6","100","0283328","4","192","188","471","034","128","040","0267","0513068","97","0283295","202"
"1201D-53R-1(119-121)","0513139","4","99","0283324","4","191","205","517","038","137","040","0275","0513065","97","0283290","201"
"1201D-65R-1(47-49)","0513141","4","100","0283330","4","193","202","509","036","134","040","0269","0513067","97","0283297","203"
"DSDPSite447BasementBasalts**","","","","","","","","","","","","","","","",""
"447A14-1","0513128","5","97","0283249","4","164","","","","","","","","","",""
"447A-14-2(2-4)","0513140","5","99","0283248","4","164","239","674","040","167","035","0238","0513078","98","0283220","173"
"447A-16-2(22-24)","0513174","7","106","0283290","4","179","224","656","037","156","034","0236","0513115","106","0283262","188"
"447A-17-2(1-4)","0513137","5","99","0283297","4","181","300","812","053","201","037","0265","0513073","97","0283266","191"
"447A-17-2(53-55)","0513128","6","97","0283293","5","180","294","784","054","208","037","0259","0513063","96","0283263","189"
"447A-17-3(105-107)","0513154","6","102","0283293","4","180","284","764","052","198","037","0263","0513089","101","0283262","189"
"447A-21-1(128-130)","0513150","","101","0283306","3","184","225","578","043","159","039","0267","0513082","99","0283275","194"
"447A-22-1(60-62)","0513152","6","102","0283314","3","187","221","569","042","152","039","0276","0513084","100","0283282","197"
"447A22R-3(18-20)","0513185","","108","0283290","","179","","","","","","","","","",""
"447A-23-1(16-19)","0513178","6","107","0283296","4","181","240","621","043","166","039","0257","0513111","105","0283266","190"
"447A24-2","0513175","6","106","0283264","3","169","","","","","","","","","",""
"447A25-1(15-17)","0513162","6","104","0283265","4","170","","","","","","","","","",""
"447A-25-1(9-11)","0513155","","102","0283275","","173","183","513","030","128","036","0237","0513093","101","0283247","183"
"447A-30-2(80-82)","0513096","","91","0283268","4","171","192","532","034","137","036","0250","0513033","90","0283238","180"
"SubmersibleSamples-TrenchWallForearcBasalts(FAB)***","","","","","","","","","","","","","","","",""
"150-01","0513080","2","88","0283259","2","168","369","896","061","254","041","0240","0512999","84","0283227","179"
"150-02","0513081","2","88","0283255","3","166","358","840","061","234","043","0261","0512997","84","0283221","177"
"150-03","0513086","2","89","0283261","3","168","361","840","065","227","043","0286","0513001","85","0283223","179"
"BT-1","0513094","2","90","0283284","4","176","141","305","027","081","046","0333","0513002","85","0283240","188"
"BT-2","0513086","2","89","0283250","3","165","266","616","048","168","043","0286","0513001","85","0283212","176"
"169-01a","0513084","2","89","0283279","1","175","184","431","035","116","043","0302","0513000","85","0283239","186"
"169-01b","0513091","2","90","0283279","2","175","183","420","035","107","044","0327","0513005","86","0283236","186"
