"Sample","Weight(mg)","Sm(ppm)","Nd(ppm)","147Sm/144Nd","(2s)(1)","143Nd/144Nd","(2s)(1,2)"
"Wholerock","1040","1292","7406","01055","(01)","0511781","(09)"
"Grt(1)","74","114","0394","17461","(79)","0511967","(60)"
"Grt(2)","92","205","4076","03035","(21)","0511772","(22)"
"Grt(3)","112","174","3489","03019","(13)","0511809","(14)"
"Grt(4)","169","130","0523","15038","(37)","0511908","(37)"
"Grt(5)","90","144","0522","16750","(34)","0511956","(36)"
