"","","","","Standard track","","","",""
"Sample","","Irradiation","Number of","density (cid:2) 104","rs(cid:2)104 cm(cid:255)2","ri(cid:2)104 cm(cid:255)2","",""
"Number","Altitude (m)","number","grains counted","cm(cid:255)2 (counted)","(counted)","(counted)","Pw2","Age22s (Ma)"
"NB10-apatite","4100","eth-40-7","30","140 (3137)","1.58 (27)","364 (6231)","96","1.120.4"
"NB12-apatite","3400","eth-40-6","38","143 (3137)","0.49 (6)","143 (1745)","42","0.920.8"
"NB64-apatite","2900","eth-40-8","29","137 (3137)","1.06 (13)","243 (3000)","68","1.120.6"
"NB6-apatite","2020","eth71-13","50","149 (2873)","0.256 (8)","131 (4083)","33","0.520.4"
"NB9-apatite","3000","eth71-16","20","145 (2873)","9.5 (117)","301 (3703)","30","8.221.6"
"NB10-zircon","4100","eth-43-25","20","15.8 (1507)","63.0 (430)","687 (4685)","<5","2.520.4"
"NB64-zircon","2900","eth-43-27","20","15.7 (1507)","49.06 (322)","49.7 (3264)","25","2.620.4"
