"","Feldspar","","","","","","","","","","","","","Hornblende","","",""
"Sample","08LX96","","","","","","","","","","","08LX100","","08LX96","","",""
"Spot","","","","","","","","","","","","","","","","",""
"","1-1","1-2","2","3-2","3-3","5-1","6-1","6-2","7-2","7-3","8-2","2-1","4-3","3-1","4","5","7-1"
"SiO2","65.8","67.2","63.8","66.4","65.8","66.6","67.4","65.0","66.1","65.2","65.2","67.5","65.8","50.2","50.5","50.8","50.8"
"Al2O3","18.3","20.7","21.8","20.8","18.4","20.5","20.3","18.1","20.6","18.0","18.1","19.7","20.6","4.55","3.98","4.50","4.24"
"TiO2","0.02","0.00","0.00","0.01","0.00","0.01","0.10","0.02","0.00","0.03","0.05","0.00","0.09","0.61","0.58","0.58","0.48"
"FeO","0.20","0.25","0.18","0.21","0.05","0.20","0.20","0.16","0.26","0.21","0.26","0.11","0.52","13.8","13.0","13.8","13.7"
"MnO","0.04","0.00","0.00","0.00","0.00","0.00","0.01","0.03","0.02","0.00","0.00","0.06","0.02","1.38","1.41","1.50","1.47"
"MgO","0.00","0.01","0.01","0.00","0.01","0.04","0.00","0.03","0.02","0.00","0.00","0.02","0.07","14.6","15.1","14.4","14.8"
"CaO","0.05","1.68","3.60","1.89","0.00","1.71","1.55","0.03","2.02","0.00","0.03","0.24","0.94","10.9","11.0","10.8","11.1"
"Na2O","2.08","11.0","9.72","10.6","1.05","10.9","10.8","1.00","10.6","1.58","1.82","11.8","10.7","1.98","1.84","2.06","2.06"
"K2O","13.9","0.09","0.15","0.11","15.4","0.22","0.27","15.4","0.21","14.4","14.3","0.12","0.47","0.57","0.53","0.53","0.56"
"Total","100.4","100.9","99.2","100.0","100.7","100.2","100.6","99.8","99.9","99.6","99.8","99.6","99.3","98.7","98.0","99.0","99.2"
"","","Cations to 8 oxygens","","","","","","","","","","","","","Cations to 23 oxygens","",""
"Si","3.01","2.93","2.84","2.92","3.01","2.93","2.95","3.01","2.92","3.02","3.01","2.97","2.93","7.21","7.28","7.26","7.27"
"Al","0.99","1.06","1.14","1.08","0.99","1.06","1.05","0.99","1.07","0.98","0.98","1.02","1.08","0.77","0.68","0.76","0.71"
"Ti","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.07","0.06","0.06","0.05"
"Fe3+","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.66","0.63","0.62","0.58"
"Fe2+","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.94","1.03","1.06"
"Mn","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.17","0.17","0.18","0.18"
"Mg","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.12","3.24","3.08","3.15"
"Ca","0.00","0.08","0.17","0.09","0.00","0.08","0.07","0.00","0.10","0.00","0.00","0.01","0.04","1.68","1.70","1.65","1.70"
"Na","0.18","0.93","0.84","0.90","0.09","0.93","0.91","0.09","0.91","0.14","0.16","1.01","0.92","0.55","0.51","0.57","0.57"
"K","0.81","0.01","0.01","0.01","0.89","0.01","0.02","0.91","0.01","0.85","0.84","0.01","0.03","0.11","0.10","0.10","0.10"
"Ab","18.5","91.8","82.3","90.5","9.4","90.9","91.2","9.00","89.4","14.3","16.3","98.2","92.8","","","",""
"An","0.24","7.72","16.9","8.92","0.00","7.87","7.27","0.15","9.41","0.00","0.16","1.10","4.50","","","",""
"Or","81.3","0.50","0.82","0.59","90.6","1.20","1.50","90.9","1.18","85.8","83.6","0.67","2.70","","","",""
"Mg/(Mg + Fe2+)","","","","","","","","","","","","","","0.76","0.78","0.75","0.75"
