"Masklevel","resnet","resnet-mask","δ"
"None","932%","9213%","-107%"
"001-01","903%","9189%","159%"
"01-02","8371%","9132%","761%"
"02-03","7354%","9049%","1695%"
"03-04","6208%","8953%","2745%"
"04-05","5603%","8776%","3173%"
"05-06","5363%","8362%","2999%"
