"","","","SuffixSimilarity","","","SuffixSimilarity","",""
"Data","Prefixsize","","","Diff","Prefixsize","","","Diff"
"","","baseline","BK","","","baseline","BK",""
"","3","0577","0811","0234","6","0542","0891","0349"
"Synthetic","4","0548","0796","0248","7","0502","0840","0339"
"","5","0534","0767","0232","microaverage","0540","0814","0274"
"","3","0606","0682","0076","6","0577","0600","0023"
"Sepsis","4","0643","0654","0011","7","0517","0573","0057"
"","5","0619","0628","0009","microaverage","0579","0609","0030"
"","3","0496","0497","0001","6","0299","0318","0020"
"RoadTraffic","4","0042","0043","0001","7","0618","0777","0159"
"","5","0047","0049","0002","microaverage","0229","0233","0004"
"","3","0596","0774","0177","6","0447","0447","0000"
"Helpdesk","4","0593","0598","0005","7","0397","0404","0007"
"","5","0583","0597","0014","microaverage","0585","0686","0101"
"","3","0474","0503","0029","6","0550","0660","0110"
"BPIC2013","4","0650","0662","0013","7","0515","0521","0006"
"(I)","5","0618","0632","0014","microaverage","0561","0576","0015"
"","3","0732","0732","0000","6","0527","0527","0000"
"BPIC2013","4","0399","0417","0018","7","0435","0438","0003"
"(CP)","5","0411","0411","0000","microaverage","0557","0558","0001"
"","3","0177","0731","0554","6","0091","0132","0041"
"BPIC2012","4","0143","0665","0522","7","0063","0107","0044"
"","5","0092","0652","0561","microaverage","0119","0481","0362"
