"Sampleno","2~176","2~176","z~176"
"F-19","17880","15479","38459"
"F-20","19660","15829","40828"
"F-21","17324","15413","38296"
"F-22","18289","15569","38484"
"F-23","19974","15846","39077"
"F-25","17667","15465","43177"
"F-26","17127","15329","38615"
