"Models","BLEU-2","BLEU-4"
"LLaMA2-7B","594","138"
"ChatGPT(+0-short)","619","186"
"ChatGPT(+1-short)","679","212"
"ChatGPT(+5-short)","785","265"
"GPT-3(+0-short)","688","222"
"GPT-3(+1-short)","671","216"
"GPT-3(+5-short)","851","283"
"GPT-35(+0-short)","851","280"
"GPT-35(+1-short)","562","199"
"GPT-35(+5-short)","937","326"
"Lamb","1049","397"
