"Samplenumber","DFHR","DFHR","DFHR","DFHR","DFHR","DFHR","DFHR","DFHR","LF","DFHR","DFHR","LF","DFHR","LF","DFHR"
"","12","15","16","22","30A","30B","32","03","50","07","08","09A","09","88","18"
"Rocktype","GBRNOR","MD","MD","ANOR","ANOR","ANOR","ANOR","MONZ","MONZ","BHG","BHG","BHG","BHG","BHG","SG"
"SiO2","4969","4834","4917","5149","5180","5289","5280","5147","5900","6513","6551","6636","6741","6758","7132"
"TiO2","022","287","210","124","056","051","037","260","102","048","042","053","049","031","028"
"Al2O3","1878","1719","1937","2453","2359","2581","2497","1516","1626","1503","1570","1483","1452","1608","1302"
"Fe2O3","801","1267","1150","507","542","262","345","1307","949","584","509","554","518","308","217"
"MnO","012","016","013","006","014","004","007","018","016","010","008","010","009","005","003"
"MgO","962","332","392","139","357","080","207","199","067","025","022","025","029","011","028"
"CaO","1079","885","796","995","945","1031","967","719","429","275","268","231","216","181","145"
"Na2O","199","342","346","391","368","421","409","369","391","363","390","360","339","374","333"
"K2O","027","129","125","125","089","140","110","303","461","553","540","543","565","654","592"
"P2O5","001","077","037","013","009","032","012","174","036","023","019","014","019","007","004"
"LOI","02","08","05","08","06","09","11","−05","−02","07","05","06","03","04","20"
"Total","9978","9973","9973","9980","9979","9981","9980","9965","9959","9962","9968","9966","9968","9976","9989"
"La","19","202","141","94","49","110","63","591","418","1376","1126","769","805","378","420"
"Ce","38","486","318","201","161","261","141","1454","959","2977","2454","1800","1631","813","957"
"Pr","053","622","417","247","125","330","165","1948","1217","3522","2851","2136","2002","937","1107"
"Nd","23","261","176","103","56","140","73","864","537","1327","1097","842","806","366","429"
"Sm","061","550","355","207","100","292","144","1785","1083","2206","1836","1512","1479","717","994"
"Eu","046","199","151","115","083","119","099","421","396","368","353","310","332","286","107"
"Gd","078","539","342","198","104","293","150","1758","1055","1859","1565","1329","1354","628","1050"
"Tb","014","082","052","031","016","042","023","265","170","291","250","212","222","104","169"
"Dy","086","437","280","171","084","227","128","1471","946","1586","1368","1219","1242","584","826"
"Ho","019","085","055","034","018","041","024","285","195","322","272","244","246","120","145"
"Er","057","235","157","094","049","117","067","781","572","920","781","695","690","335","378"
"Tm","009","034","021","014","007","016","009","108","084","137","117","106","105","051","056"
"Yb","064","201","131","091","048","097","058","659","544","874","760","681","680","330","333"
"Lu","010","029","020","013","007","014","008","094","085","131","113","104","100","050","046"
"Zr","84","1190","1053","1508","273","805","485","2599","9597","7722","5913","7146","6935","3975","2741"
"Hf","03","34","27","40","06","18","12","64","209","210","159","182","184","93","86"
"Y","51","242","147","85","46","115","68","772","503","860","757","621","688","302","370"
"U","b01","10","05","02","b01","02","b01","07","14","49","45","29","32","15","30"
"Th","b02","29","22","05","02","06","04","20","35","289","262","120","171","64","260"
"Nb","02","100","66","110","15","43","28","321","458","479","404","528","410","259","203"
"Ta","b01","06","04","06","01","03","02","16","330","28","22","29","24","14","06"
"Ba","99","672","554","562","514","722","629","1289","1654","1246","1156","1343","1258","1390","380"
"Ga","160","205","219","206","180","198","184","248","248","262","262","245","236","245","172"
"Rb","21","304","203","149","59","167","98","473","876","1949","1822","1701","1996","1810","2848"
"Sr","1764","4480","5114","7078","6555","7434","7288","3190","2364","1508","1597","1472","1458","1489","740"
"Co","550","473","441","183","256","74","142","305","71","25","24","25","34","12","43"
"Sc","26","24","15","8","9","5","6","26","19","9","8","11","8","4","8"
"V","92","240","241","77","72","26","31","123","9","b8","b8","b8","b8","b8","25"
"Cu","1216","256","681","255","77","109","152","325","67","84","55","68","60","21","17"
"Mo","b01","06","04","03","b01","02","b01","19","15","25","22","13","07","04","08"
"Ni","1743","110","470","286","352","74","217","113","14","06","05","60","06","60","36"
"Pb","09","13","12","06","08","05","03","11","13","297","277","169","156","162","175"
"Zn","5","43","30","19","16","10","12","51","94","88","79","88","70","43","32"
"Eu/Eu*","20","11","13","17","25","12","21","07","11","06","06","07","07","13","03"
"(La/Yb)N","20","68","73","70","69","77","74","61","52","11","10","77","80","78","86"
