"","","","","","","","","","","","","","","2"
"","Sample","Rb (ppm)","Sr (ppm)","87Rb/86Sr","87Sr/86Sr","Error","(87Sr/86Sr)i","Sm (ppm)","Nd (ppm)","147Sm/144Nd","143Nd/144Nd","Error","εNd(t)","(Ma)
TDM"
"Furong","FR-63","264.1","204.2","3.75","0.719366","0.000003","0.711327","9.63","53.4","0.1092","0.512196","0.000004","− 6.9","1506"
"","FR-33","330.7","209.9","4.56","0.720631","0.000004","0.710837","8.82","47.4","0.1125","0.512217","0.000002","− 6.6","1478"
"","FR-43","","","","","","","7.65","42.6","0.1087","0.512176","0.000003","− 7.3","1537"
"","GT-4-4","367.1","204.2","5.21","0.724336","0.000004","0.713153","8.59","53.5","0.0971","0.512151","0.000004","− 7.6","1558"
"Cailing","QTL-6","220.9","194.8","3.28","0.717996","0.000004","0.710946","11.33","62.4","0.1098","0.512202","0.000009","− 6.8","1497"
"","QTL-14","230.6","177.2","3.77","0.719080","0.000003","0.710990","9.98","55.5","0.1088","0.512233","0.000003","− 6.2","1447"
"","QT-27","427.2","91.8","14.48","0.740856","0.000026","0.709783","","","","","","",""
"","QT-29","421.0","152.7","3.93","0.717556","0.000024","0.709130","12.22","59.1","0.1285","0.512288","0.000020","− 5.5","1391"
"","QT-38","","","","","","","13.98","94.0","0.0612","0.512209","0.000020","− 5.8","1410"
"MMEs","QTL-1-B","209.2","175.1","3.46","0.719528","0.000003","0.712100","18.93","97.2","0.1178","0.512218","0.000005","− 6.7","1485"
"","QTL-2","183.8","241.7","2.20","0.716026","0.000034","0.711301","16.61","88.1","0.1141","0.512235","0.000004","− 6.3","1452"
"","QTL-3","216.6","180.0","3.48","0.718466","0.000003","0.710988","9.26","49.9","0.1123","0.512237","0.000003","− 6.2","1446"
"","QTL-5","205.6","254.6","2.34","0.716450","0.000002","0.711432","12.84","71.3","0.1090","0.512285","0.000002","− 5.2","1365"
"","QTL-7","207.1","277.1","2.16","0.714963","0.000019","0.710318","11.28","64.8","0.1053","0.512341","0.000003","− 4.0","1270"
"","QTL-8","63.2","177.1","1.03","0.712821","0.000003","0.710604","9.26","47.8","0.1173","0.512383","0.000014","− 3.4","1222"
"","QTL-9","176.6","312.8","1.63","0.712570","0.000004","0.709062","10.84","61.9","0.1060","0.512378","0.000003","− 3.3","1213"
"","QTL-10","","","","","","","10.88","60.4","0.1090","0.512354","0.000002","− 3.9","1255"
"","QTL-11","229.5","180.1","3.69","0.718748","0.000002","0.710828","9.97","53.6","0.1125","0.512259","0.000025","− 5.8","1411"
"","QTL-12","261.2","188.7","4.01","0.718973","0.000003","0.710370","15.88","87.0","0.1104","0.512240","0.000004","− 6.1","1438"
"","QTL-15","157.9","178.0","2.57","0.716229","0.000005","0.710716","24.66","132.9","0.1122","0.512250","0.000002","− 5.9","1425"
