"Table1continued","","","","","","","","","","","","",""
"","Whole-rocktrace-elementconcentrations(ppm)","","","","","","","","","","","",""
"Samplename","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm"
"Granodiorite","","","","","","","","","","","","",""
"ML05104","993","149","28","278","991","184","0665","149","024","133","026","077","0125"
"ML06161","824","247","616","762","307","636","146","537","094","528","102","316","0514"
"ML06163","861","266","551","595","228","432","112","35","058","325","063","179","026"
"Hybridizedgranodiorite","","","","","","","","","","","","",""
"ML05102(L)","275","122","213","188","576","609","0795","334","032","14","024","071","0106"
"ML05108(H)","1125","156","402","547","244","591","105","528","093","542","101","284","0419"
"ML05118(L)","326","327","569","549","174","234","104","169","021","099","018","051","0074"
"ML06125(L)","379","282","524","637","235","411","13","336","051","265","049","146","0218"
"ML06126(H)","858","19","366","371","131","248","0864","203","032","181","034","096","0143"
"ML06128(H)","1127","852","126","108","343","056","0382","045","008","052","011","035","0061"
"ML06130(H)","1054","129","181","142","426","066","0485","042","007","041","008","026","0044"
"ML06136(L)","330","621","127","132","477","765","117","548","075","321","05","117","0136"
"ML06138(H)","358","149","322","368","151","353","0894","332","064","402","078","226","033"
"ML06140(H)","640","104","174","175","668","119","0615","097","014","072","013","036","0052"
"ML06160(L)","131","129","192","196","651","104","0689","085","013","073","015","044","0072"
"Quartzite","","","","","","","","","","","","",""
"ML05114","195","105","227","239","906","192","0512","182","034","208","043","131","0199"
"ML06137","382","792","143","138","456","072","0374","05","008","042","009","028","0047"
"ML06139","94","236","448","398","131","163","0146","103","014","067","013","041","0067"
"Peliticquartzite","","","","","","","","","","","","",""
"ML05103","312","424","101","997","371","686","122","589","094","494","093","273","0384"
"ML06129","130","168","421","465","193","432","113","41","073","4","071","193","0261"
"calc-silicaterocks","","","","","","","","","","","","",""
"ML05117","22","365","853","954","37","728","186","664","113","622","115","321","0468"
"ML06159","337","521","107","115","424","762","158","651","114","638","124","374","0575"
"Marbles","","","","","","","","","","","","",""
"ML05105","8","527","793","104","403","074","0301","077","012","069","015","049","0074"
"ML-85","16","559","133","131","493","102","0263","089","016","094","018","055","0087"
