"","","","","Mass","","","","","","",""
"","Rb,a","Sr,a","","87Sr/86SrbSpectrometerAge,","","","UncertaintySm,f","","Nd,f","143Nd/144Nd",""
"Sample","ppm","ppm","","(Measured)Precisionc","Ma","SIRa","inSIRe","ppm","ppm","(Measured)e","NIRh"
"","","","","","Nowitna","Field","","","","",""
"81ML1","48","498","070472","000013","65","070447","000015","53","260","051262","051257"
"81ML2","75","479","070476","000007","65","070434","000016","53","320","051260","051256"
"81ML3","90","475","070500","000008","65","070450","000016","74","360","051262","051257"
"81ML5","89","337","070579","000011","65","070509","000017","90","450","051263","051257"
"","","","","","Sischu","Field","","","","",""
"79Pa12","104","408","070816i","000005i","66,3","070747","000016","588","300","051249","051244"
"","","","070813","000006","","","","","","",""
"79Pa56","188j","514j","071798","000006","663","070791","000037","100","625","051251","051246"
"75Pa155","1935j","508j","071829","000006","663","070791","000038","42","280","051251","051247"
"","","","","","Kanuti","Field","","","","",""
"81ML314","84","610","070466","000008","560","070434","000015","70","380","051271","051267"
"81ML303","85","543","070513","000006","560","070477","000016","50","270","051270","051266"
"81ML300","78","691","070500","000009","560","070474","000015","53","330","051265","051262"
"81ML311","102","875","070473","000009","560","070446","000015","69","450","051258","051255"
"81ML319a","","","","","560","","","50","370","051261","051258"
"81ML307","118","632","070474","000013","560","070431","000015","50","360","051268","051265"
"81Pa400a","120","453","070525","000006","560","070464","000016","50","310","051268","051248"
"81Pa400b","","","","","560","","","47","280","051256","051252"
"","","","","","YukonRiver","Field","","","","",""
"81Pa332b","17","603","070380","000005","536","070374","000015","79","370","051273","051268"
"81Pa319","79","458","070546","000008","500","070511","000016","55","300","051270","051266"
"81Pa330","1244j","287j","071450","000012","532","070502","000035","79","470","051276","051272"
"81Pa323","36","454","070423","000005","487","070407","000015","54","290","051284","051280"
"81Pa321","61","678","070481","000007","500","070463","000015","62","300","051274","051269"
