"","","","NowitnaField","","","","","SischuField","",""
"","75Ch67","81ML1","81ML2","81ML3","81ML5","79Pa12","78Pa36a","78Pa56a","75Pa155","77Pa202"
"Latitude","64004'57',","63052'20',","63014'05","63051'4","63o51,10',","63o52'10","63057'20,,","63027'05,,","63027,00,,","63050'40"
"","155o40'04","155ø14'15'","155o14'00","155o12'50","155o12'00","153o12'40","152o03'20","153o42'20","153o42'25","153013'00"
"Longitude","","","","","","","","","",""
"","","","","","WeightPercent","","","","",""
"","5392","565","608","597","625","604","728","763","753","707"
"SiO2","","","","","","","","","",""
"A1203","1705","163","159","162","151","177","147","125","125","155"
"","267","36","308","337","409","236","151","094","122","181"
"Fe203","","","","","","","","","",""
"FeO","463","35","25","31","25","253","006","015","018","066"
"","425","497","312","214","146","130","008","010","008","005"
"MgO","","","","","","","","","",""
"CaO","854","712","561","497","393","539","080","089","090","034"
"Na20","361","336","339","368","379","378","442","274","271","132"
"K20","162","185","243","286","322","262","544","524","542","652"
"","118","111","094","138","126","087","013","014","018","031"
"TiO2","","","","","","","","","",""
"","036","031","030","042","040","020","003","010","002","012"
"P205","","","","","","","","","",""
"MnO","013","010","006","009","010","006","<001","002","<001","001"
"CO2","169","002","008","001","001","087","006","005","006","005"
"","057","038","071","052","059","125","031","043","061","210"
"H2O+","","","","","","","","","",""
"H20-","085","056","071","083","054","064","047","043","037","065"
"Total","10107","9968","9963","9927","9949","9997","10085","10003","9954","10014"
"","","","","","PartsperMillion","","","","",""
"Rb","50","48","75","90","89","104","742*","188'","199","245"
"Cs","065","06","09","15","19","241","467","567","04","665"
"Sr","525","498","479","475","337","408","95'","514'","55","156"
"Ba","846","920","1290","1350","1510","789","5","512","537","1295"
"La","30","33","38","44","48","323","262","835","44","59"
"Ce","545","60","69","81","91","63","305","166","71","1005"
"Nd","295","26","32","36","45","30","160","625","28","385"
"Sm","575","53","58","74","90","588","272","10","42","735"
"Eu","137","136","132","169","184","13","056","0715","089","116"
"Gd","39","5","55","73","76","597","316","80","4","345"
"Tb","na","07","171","102","122","0747","386","0811","036","048"
"Tm","051","034","03","043","047","<05","146","<05","<009","<030"
"Yb","245","23","22","031","43","269","11","219","09","065"
"Lu","036","033","033","044","062","0404","137","0293","013","0085"
"Y","28","23","27","33","40","24","112","27","26","nd"
"Zr","199","177","215","253","290","176","387","226","242","418"
"Hf","39","41","49","58","71","47","148","701","43","775"
"Nb","12","9","15","18","16","16","111","20","24","31"
"Ta","0665","079","084","113","128","142","855","151","126","226"
"Th","655","82","101","113","131","131","125","283","276","185"
"U","235","23","30","35","39","554","262","649","667","111"
"Sc","195","197","152","145","166","877","079","114","213","18"
"Cr","507","773","361","95","20","661","<05","0713","18","31"
"Co","258","235","142","126","105","12","03","0441","12","275"
"Zn","925","79","80","94","106","nd","106","nd","20","57"
"Sb","<06","<05","02","03","05","027","nd","152","nd","05"
"Sn","nd","nd","nd","nd","nd","19","170","24","30","38"
"W","nd","nd","nd","nd","nd","16","220","28","360","30"
"F","nd","nd","nd","nd","nd","400","3000","200","200","800"
"Be","nd","nd","nd","nd","nd","21","110","20","25","30"
