"","","","Yukon-KoyukukProvince","","","Precambrian/PaleozoicTerranes"
"","Kanuti","","BlackburnHillsYukonRiver","","","NowitnaSischu"
"Age,Ma","60-56","","65-5653-48","","","66-6371-66"
"Volume,km3","",">1,500","400>200","","","2500>350"
"Classification","moderate","to","","","",""
"","","","moderate-Kcalc-moderatetohigh-","","moderate-Kcalc-","shoshonitictohigh-K"
"","","high-Kcalc-","alkalicandmildlyKcalcalkalic","","alkalic","calc-alkalic"
"","alkalic","","alkalicandmildly","","",""
"","","","alkalic","","",""
"Rocktypes","","Chieflydacite","bas,ande,rhy,bas,ande,dac,","","chieflyande,minor","chieflydac+rhy,"
"","","","grnodrtrhy,andlatite","","rhy","minorande"
"SIO2,%","62-72","","48-7648-76","","","55-64,7262-76"
"Mineralogy","rhy:qtz+olig","","sodicrhy:calc-alkalic:","","ande:","rhy:olig+san+qtz"
"","+hb+mt","","","","",""
"","","","anorth+Fe-hddac:plag+qtz+","","Plag+cpx+-opx+mt","+bio+fay"
"","dac:","","","","",""
"","","","CArhy:plag+_hb+cpx","","rhy:","Dac:plag+san+qtz"
"","","olig-andes","bio+hbande:plag+cpx","","plag+san+-bio+mt","+bio+hb"
"","+hb+mt","","grnodrt:plag+ortho+-opx+-hb","","",""
"","","","","","","ande:plag+bio"
"","","_+opx+_cpx","+bio+hbmildlyalkalic:","","","+mt+hb"
"","","","ande:plag+cpxrhy:plag+anorth","","",""
"","","","+-opx+-hb+mt+san+qtz;","","",""
"","","","bas:plag+cpxlatite:anorth+olig","","",""
"","","","+ol+mt+san+bio+hb;","","",""
"","","","bas:plag+ol","","",""
"","","","+cpx+_bio","","",""
"Spidergrams","lowNb-Ta","","lowNb-Ta,exceptlowNb-Ta,","","lowNb-Ta","highlyevolved,"
"","","","basexceptbas","","","generallylowNb-Ta"
"REE(chondrite","","La=160-140","twogroupsofrocksLa=100","La=","100","La=90-800"
"normalized)","Yb=4-7","","Group1Yb=10-16","Yb","=15","Yb=25-50"
"","","","La=60-150,","","",""
"","","","Yb=10-15","","",""
"","","","Group2","","",""
"","","","La=80-170,","","",""
"","","","Yb=4-6","","",""
"","","","rhy:La=150-200,","","",""
"","","","Yb=10-30","","",""
"","","","grnodrt:La=150,","","",""
"","","","Yb=10-20","","",""
"SIR","07043-07047","","07037-07051Group1,07027-","","07043-07051","07075-0708"
"","","","07043","","",""
"","","","Group2,07045-","","",""
"","","","07052","","",""
"","","","rhy:07036-07050","","",""
"","","","grnodrt:07039","","",""
"NIR","","051256-051271","051266-051280Group1,05129-","","051257","051244-051252"
"","","","051265","","",""
"","","","Group2,051250-","","",""
"","","","051269","","",""
"","","","rhy:051263-051292","","",""
"","","","grnodrt:051273-","","",""
"","","","051279","","",""
