"Model","DDIRate","Jaccard","PR-AUC","F1Score"
"LSTM-LGNet","00831","05021","07531","06487"
"RNN-LGNet","00810","05071","07641","06636"
"A-LGNet−𝑅𝑁𝑁","00779","05112","07653","06668"
"A-LSTM-LGNet","00860","05122","07681","06671"
"ALGNet","00791","05176","07714","06729"
