"Model","DDIRate","Jaccard","PR-AUC","F1Score"
"LSTM-GCN","00917","05018","07521","06473"
"RNN-GCN(GAMENet)","00864","05067","07631","06626"
"A-GCN","00869","05076","07632","06628"
"A-LSTM-GCN","00886","05068","07639","06632"
"A-RNN-GCN","00892","05091","07650","06645"
