"Sample","Rb/Sr","87Sr/86Srmeasured","87Sr/86Sr370Ma","Sm/Nd","143Nd/144Ndmeasured","143Nd/144Nd370Ma"
"OOP1*","00333","070398","070348","0171","051256","051231"
"OOP1B","00139","070403","070382","0172","051258","051232"
"OOP2","00135","070394","070373","0173","051252","051226"
"OOP23","01523","070560","070328","0148","051263","051241"
"OOP40A","0052","070555","070476","0184","051255","051228"
"PK501","00518","070551","070472","0171","051237","051211"
"PK1","01763","072016","071747","0178","051254","051228"
"2058","00203","070281","070250","0292","051305","051263"
"1126","00081","070457","070445","0225","051276","051243"
