"Sample","204Pbt 
YJ/","","","Mode1 Age  (Ga)t",""
"","","207Pb’/2”sPb*","","",""
"","","","sO,Pb_206Pb","238~_2OGpb","235&207p,,"
"","p","","","",""
"LEW-WR","0.6789  (36)","0.59545 (72)","4.4969  (17)","17.536 (37)","7.170  (7)"
"LEW-Plag","23.35  (36)","0.61187 (42)","4.5364  (10)","5.062 (54)","4.693  (15)"
"LEW-01","3.429  (33)","0.59565 (76)","4.4974  (19)","9.178 (47)","5.646  (10)"
"LEW-PxLt","113.0 (9.6)","0.6071 (10)","4.5251  (25)","3.78  (22)","4.280  (79)"
"LEN-PxDk","289.4  (9.0)","0.61993 (37)","4.5554 (9)","4.410  (56)","4.510  (18)"
"LEW-Px","646.0  (12.2)","0.62097 (22)","4.55784 (52)","4.652  (16)","4.5866  (50)"
"ADOR-Px","5557.5  (562.4)","0.62095 (18)","4.55780 (42)","4.586  (15)","4.5663  (47)"
